movie_id,month,watch_hours,unique_viewers,completion_rate,avg_watch_time,churn_impact_score
M166,2019-04,3517184,1581504,0.4687,0.75,2.81
M170,2019-04,3938848,1328727,0.4483,0.9,3.03
M171,2019-04,530944,206108,0.4736,1.07,3.61
M173,2019-04,604361,245089,0.4415,1.05,2.37
M177,2019-04,1193073,476016,0.5836,1.03,3.09
M178,2019-04,1477884,636472,0.5941,1.17,4.16
M188,2019-04,720108,380551,0.6047,1.29,3.63
M190,2019-04,304287,100670,0.5967,0.99,4.87
M196,2019-04,5783275,2462287,0.6748,1.14,4.17
M201,2019-04,1840209,672059,0.6664,1.26,3.58
M202,2019-04,1458912,632505,0.6131,1.49,2.95
M205,2019-04,1222806,613676,0.5839,1.29,4.34
M208,2019-04,4320738,2331946,0.6468,1.09,1.65
M214,2019-04,6717422,2332813,0.6905,1.2,3.71
M216,2019-04,1198954,495051,0.6092,1.15,2.24
M222,2019-04,806337,328230,0.6768,1.68,2.85
M102,2019-05,3129679,1340550,0.8004,1.79,1.55
M104,2019-05,125026,46346,0.7277,1.67,4.4
M108,2019-05,1764285,615084,0.7096,1.26,4.79
M123,2019-05,2385510,981053,0.7315,1.36,1.94
M126,2019-05,2515547,1082012,0.6514,1.33,4.17
M130,2019-05,491240,223125,0.6215,1.32,2.79
M134,2019-05,1479205,774081,0.6028,1.29,3.11
M139,2019-05,2088266,947771,0.6301,1.41,2.83
M142,2019-05,845508,275660,0.6398,0.97,1.57
M148,2019-05,3632295,1365148,0.647,0.85,4.9
M151,2019-05,293686,115784,0.4419,0.75,2.88
M155,2019-05,2422806,763459,0.4467,0.74,3.93
M157,2019-05,1198517,416137,0.4568,0.87,4.25
M162,2019-05,3558582,1231002,0.4712,1.06,1.25
M164,2019-05,962033,394154,0.4347,0.55,4.73
M166,2019-05,3055298,959345,0.4787,0.69,2.43
M170,2019-05,3642369,1209238,0.4576,1.08,3.97
M171,2019-05,476917,203697,0.4792,1.15,3.08
M173,2019-05,545567,193606,0.4344,0.83,2.28
M177,2019-05,968259,355286,0.5853,1.23,2.41
M178,2019-05,1260264,417575,0.5926,1.47,4.79
M184,2019-05,4295997,1595531,0.6682,1.63,1.57
M188,2019-05,618870,213857,0.5967,1.0,2.53
M190,2019-05,254327,96076,0.609,1.33,3.3
M196,2019-05,4910023,2082947,0.6725,1.45,3.0
M201,2019-05,1524856,589580,0.6331,1.58,2.14
M202,2019-05,1318038,529826,0.5961,1.41,2.78
M205,2019-05,1040520,377725,0.6173,0.79,3.17
M208,2019-05,3729828,1246639,0.6606,1.47,3.04
M214,2019-05,5414831,2601567,0.6519,1.25,2.48
M216,2019-05,1091450,424308,0.6206,1.55,3.88
M222,2019-05,677365,235455,0.6712,1.37,2.8
M102,2019-06,2772419,1214736,0.8119,1.17,4.87
M104,2019-06,108523,35292,0.6808,0.96,2.29
M108,2019-06,1566663,685799,0.737,1.12,3.54
M109,2019-06,2848727,1442219,0.7951,1.13,4.77
M117,2019-06,7615645,2797579,0.816,1.58,4.3
M123,2019-06,1995840,1070932,0.7401,1.63,2.67
M126,2019-06,2075906,831275,0.6764,1.24,4.22
M130,2019-06,441554,199220,0.5786,1.06,1.82
M134,2019-06,1337305,597647,0.6209,1.53,1.52
M139,2019-06,1826570,706245,0.626,0.95,1.39
M142,2019-06,733847,313903,0.6358,0.89,2.31
M148,2019-06,3141742,1403941,0.6682,1.24,2.23
M151,2019-06,249350,79834,0.4383,0.73,1.2
M155,2019-06,2038840,671715,0.4632,1.07,2.72
M157,2019-06,1046551,371313,0.4547,0.88,1.78
M162,2019-06,3147568,1654051,0.4697,1.17,3.72
M164,2019-06,770381,243397,0.4362,1.06,4.02
M166,2019-06,2527201,1005742,0.473,0.77,2.89
M170,2019-06,3012931,1137485,0.4633,0.65,4.96
M171,2019-06,400920,180681,0.4438,0.94,2.2
M173,2019-06,465893,201188,0.4607,1.03,3.9
M177,2019-06,875544,476536,0.5887,1.3,3.31
M178,2019-06,1147437,438466,0.5785,1.33,1.59
M179,2019-06,1388494,752898,0.6974,1.12,1.61
M184,2019-06,3887465,1637152,0.6837,1.47,1.25
M188,2019-06,504418,241316,0.6063,0.97,1.69
M190,2019-06,223971,98264,0.5877,1.2,3.77
M196,2019-06,4219367,2039159,0.6473,1.6,2.19
M201,2019-06,1288142,616280,0.6502,1.57,4.18
M202,2019-06,1057823,536796,0.6188,1.4,4.82
M205,2019-06,950419,430709,0.5844,1.04,2.03
M208,2019-06,3060429,1469314,0.6469,0.89,3.46
M214,2019-06,4830179,2257682,0.6735,0.85,2.65
M216,2019-06,1957657,941424,0.8729,1.51,4.74
M222,2019-06,597019,241862,0.635,1.3,4.63
M102,2019-07,2230011,856449,0.7888,1.88,1.7
M104,2019-07,96383,47105,0.718,1.32,4.75
M108,2019-07,2904485,763824,0.95,2.35,2.14
M109,2019-07,2526281,986589,0.7987,1.44,1.77
M117,2019-07,6457761,3185098,0.7969,1.72,4.16
M123,2019-07,1790749,626093,0.7108,1.62,3.06
M126,2019-07,1675768,612273,0.6492,0.99,2.04
M130,2019-07,360143,126133,0.6177,0.75,3.61
M134,2019-07,1147883,608319,0.5859,1.09,4.58
M139,2019-07,1605163,718075,0.6109,1.22,1.88
M142,2019-07,615317,305450,0.6374,1.22,2.88
M148,2019-07,2664858,976234,0.6359,1.48,1.33
M151,2019-07,221280,79446,0.4134,0.79,3.02
M155,2019-07,1748827,870152,0.4434,0.65,3.33
M157,2019-07,826268,328597,0.4534,0.81,1.23
M162,2019-07,2656907,906892,0.4772,1.04,3.31
M164,2019-07,651170,285308,0.4162,0.54,4.74
M166,2019-07,2116468,892115,0.4829,0.98,2.68
M170,2019-07,2696802,1154714,0.4775,1.0,3.65
M171,2019-07,335003,123392,0.4409,0.83,3.91
M173,2019-07,374930,207733,0.4246,0.81,3.13
M177,2019-07,754914,351692,0.5773,1.24,1.45
M178,2019-07,985004,412664,0.6033,0.89,1.4
M179,2019-07,1110593,421173,0.6802,1.17,1.94
M184,2019-07,3163437,1051247,0.6428,1.45,3.93
M188,2019-07,437144,165767,0.6186,0.86,3.64
M190,2019-07,178621,80434,0.568,1.35,3.5
M196,2019-07,3530632,1415724,0.6786,1.51,2.27
M201,2019-07,1110352,552715,0.6288,1.45,2.2
M202,2019-07,938736,320597,0.6257,1.2,1.54
M205,2019-07,767154,367997,0.5973,0.79,3.9
M208,2019-07,2534018,1164612,0.6487,0.94,4.05
M214,2019-07,4166029,1613245,0.659,1.61,1.06
M216,2019-07,802315,254953,0.5859,0.89,3.42
M222,2019-07,476838,154758,0.6476,1.23,2.44
M102,2019-08,1950222,774529,0.7809,1.41,4.36
M104,2019-08,83121,35843,0.6867,0.95,2.04
M107,2019-08,12212611,4677727,0.8009,1.36,4.33
M108,2019-08,1124504,413960,0.7122,1.75,3.57
M109,2019-08,2073725,1018765,0.8077,1.48,4.67
M117,2019-08,5788650,2145109,0.7709,1.87,3.67
M120,2019-08,7964758,3350268,0.8221,1.0,3.02
M123,2019-08,1511455,567156,0.7293,1.34,1.03
M126,2019-08,1507352,829769,0.6615,0.81,4.25
M130,2019-08,322943,110270,0.6105,0.85,1.77
M134,2019-08,971675,330355,0.5884,1.02,3.26
M139,2019-08,1417194,669688,0.6342,1.47,4.04
M142,2019-08,176163,226085,0.2802,0.52,2.74
M148,2019-08,2345105,904677,0.6629,0.83,1.85
M151,2019-08,197946,65058,0.4298,1.03,4.6
M155,2019-08,1502452,813868,0.4699,0.92,4.01
M157,2019-08,754259,319924,0.4133,0.94,2.56
M162,2019-08,2379389,1050771,0.4753,1.02,3.0
M164,2019-08,611703,326211,0.4314,0.95,4.82
M166,2019-08,1886092,654216,0.4425,0.81,2.42
M170,2019-08,2307983,959825,0.4645,0.93,4.19
M171,2019-08,292809,152914,0.4277,0.92,2.27
M173,2019-08,318727,176357,0.4354,0.6,1.75
M177,2019-08,626665,243210,0.5754,0.76,3.39
M178,2019-08,808967,345810,0.5746,1.36,4.62
M179,2019-08,1044866,401756,0.6485,1.03,2.97
M180,2019-08,6930887,2877621,0.6711,1.02,1.99
M184,2019-08,2828695,1075006,0.6448,1.57,2.33
M188,2019-08,386861,132228,0.5965,1.38,4.9
M190,2019-08,152314,67727,0.6074,1.49,4.87
M196,2019-08,2996351,1080567,0.6496,1.1,4.27
M201,2019-08,952612,486164,0.6332,1.32,3.2
M202,2019-08,825690,337530,0.6104,1.28,4.28
M205,2019-08,695252,293009,0.585,1.2,3.86
M208,2019-08,2306911,1211898,0.6595,1.23,4.68
M214,2019-08,3571345,1394455,0.6695,1.27,3.55
M216,2019-08,636131,221144,0.6079,0.76,4.93
M222,2019-08,429021,181829,0.6526,0.79,2.03
M102,2019-09,1751280,693214,0.779,1.33,4.09
M104,2019-09,70698,28271,0.6772,1.18,4.85
M107,2019-09,9905252,3177870,0.7811,1.15,2.93
M108,2019-09,983687,407588,0.7068,1.59,1.46
M109,2019-09,1880193,694526,0.7959,1.21,1.7
M117,2019-09,4891055,1892978,0.8099,1.17,3.56
M120,2019-09,6767258,3676121,0.8047,1.37,3.82
M123,2019-09,1303717,456922,0.7304,1.7,1.75
M126,2019-09,1293244,529894,0.6431,1.31,3.39
M129,2019-09,6638434,2532007,0.6674,1.51,3.82
M130,2019-09,273137,102672,0.5642,0.9,1.73
M134,2019-09,865388,344069,0.5909,0.85,3.54
M136,2019-09,1770832,655047,0.7,0.97,2.26
M139,2019-09,2309382,1225301,0.8582,2.11,3.02
M142,2019-09,480401,174148,0.6108,0.8,1.12
M148,2019-09,2051524,928742,0.6287,1.13,3.97
M151,2019-09,171908,66900,0.4082,0.93,2.47
M155,2019-09,1349519,726229,0.4559,0.61,4.32
M157,2019-09,663648,299373,0.456,1.03,2.76
M158,2019-09,4703215,1629730,0.4668,0.77,3.84
M162,2019-09,2035534,1001554,0.441,0.56,2.4
M164,2019-09,502408,196692,0.4222,0.65,4.43
M166,2019-09,1747193,635107,0.4423,1.06,4.97
M170,2019-09,2009722,1016220,0.4703,1.07,4.05
M171,2019-09,255824,102937,0.4454,0.8,3.53
M173,2019-09,300819,155837,0.4423,0.74,4.8
M177,2019-09,543010,301093,0.5887,1.06,3.66
M178,2019-09,711548,376746,0.5817,0.86,2.07
M179,2019-09,903539,397534,0.6639,1.09,3.73
M180,2019-09,6067384,3128477,0.6842,1.58,2.77
M184,2019-09,2334208,743083,0.6401,1.31,1.64
M188,2019-09,349144,159891,0.6077,1.44,1.66
M190,2019-09,136963,61481,0.59,1.25,1.0
M196,2019-09,1174308,1346692,0.2841,0.64,4.95
M201,2019-09,837522,421915,0.6035,0.8,2.25
M202,2019-09,719129,361011,0.6087,1.52,1.57
M205,2019-09,594561,328148,0.5875,1.18,1.61
M208,2019-09,1951745,706848,0.648,1.41,3.36
M214,2019-09,3040921,965816,0.6407,0.84,3.21
M216,2019-09,586181,221147,0.6089,1.25,2.21
M222,2019-09,370499,147413,0.6474,1.53,4.82
M102,2019-10,1568981,801383,0.769,1.9,4.95
M104,2019-10,65503,33002,0.697,1.46,4.05
M107,2019-10,9624083,3343420,0.7688,0.96,1.24
M108,2019-10,908997,362257,0.6974,1.47,1.33
M109,2019-10,1638398,615368,0.7699,1.13,4.23
M117,2019-10,4551031,1939064,0.7877,1.01,3.79
M120,2019-10,6245289,2092185,0.7709,1.38,3.44
M123,2019-10,1181627,416304,0.721,1.52,1.66
M126,2019-10,1230829,486069,0.6641,0.91,4.12
M129,2019-10,5764078,1895466,0.6836,1.06,1.26
M130,2019-10,254947,97781,0.5589,1.03,3.27
M134,2019-10,752818,348985,0.5701,0.85,3.04
M136,2019-10,1492394,496125,0.6572,0.92,4.72
M139,2019-10,1101339,427868,0.6357,1.03,2.67
M141,2019-10,1496634,686604,0.6539,1.55,1.72
M142,2019-10,443747,139807,0.6327,0.99,4.38
M148,2019-10,1766539,686213,0.6104,0.97,3.49
M149,2019-10,3213858,1222758,0.6747,1.6,4.04
M151,2019-10,146784,81144,0.4195,0.96,4.51
M155,2019-10,1225223,679906,0.4494,0.6,3.12
M157,2019-10,567038,227832,0.4055,0.54,4.69
M158,2019-10,4182867,1654835,0.4865,0.64,1.38
M162,2019-10,1740631,590455,0.4342,1.07,1.95
M164,2019-10,449906,200760,0.4425,0.71,2.09
M166,2019-10,1437699,689941,0.473,0.67,2.86
M170,2019-10,1726810,677102,0.4717,0.73,1.48
M171,2019-10,218388,79112,0.4543,1.04,2.31
M173,2019-10,250339,116571,0.4308,0.66,4.96
M177,2019-10,473243,200005,0.5676,1.02,4.22
M178,2019-10,624975,344009,0.5915,1.34,2.49
M179,2019-10,795876,294489,0.6591,0.81,1.26
M180,2019-10,5906702,2439975,0.6464,1.05,1.17
M184,2019-10,2190777,1076451,0.6537,0.81,3.73
M188,2019-10,291496,138767,0.5794,0.72,3.48
M190,2019-10,121111,54723,0.5706,0.89,1.55
M196,2019-10,2335945,768778,0.6413,1.43,4.96
M201,2019-10,777397,337594,0.6222,1.15,2.55
M202,2019-10,603661,268720,0.576,0.74,4.97
M205,2019-10,533417,185628,0.6,1.23,2.07
M208,2019-10,1819257,589870,0.6028,1.39,4.19
M214,2019-10,2720795,914580,0.6623,1.49,3.79
M215,2019-10,7821534,4252014,0.685,1.32,1.75
M216,2019-10,545205,179682,0.5896,0.78,1.93
M222,2019-10,322983,127307,0.605,0.83,3.87
M102,2019-11,1493316,500777,0.7542,1.8,4.1
M104,2019-11,59444,19782,0.696,1.19,1.4
M107,2019-11,8279766,4158529,0.7699,1.89,3.6
M108,2019-11,784166,248449,0.6947,1.04,3.36
M109,2019-11,1447463,649216,0.7844,1.91,4.79
M117,2019-11,4106182,1286399,0.7983,1.91,4.87
M120,2019-11,5442285,2099833,0.8088,1.22,4.93
M123,2019-11,1066155,350772,0.6824,1.61,2.79
M126,2019-11,1055285,490977,0.6234,0.75,2.54
M129,2019-11,5511296,1745880,0.6842,1.31,1.41
M130,2019-11,228162,75809,0.5825,0.75,4.38
M134,2019-11,683862,304452,0.6076,1.03,3.93
M136,2019-11,1433652,468916,0.6447,1.18,1.12
M139,2019-11,1015415,499959,0.6295,0.92,1.76
M141,2019-11,1366208,486047,0.6815,1.03,1.2
M142,2019-11,397213,133481,0.5877,0.93,3.65
M148,2019-11,1658781,797665,0.6063,0.79,4.38
M149,2019-11,2896403,1229136,0.6695,1.28,1.74
M151,2019-11,142674,61572,0.4178,0.62,2.07
M155,2019-11,1029836,360949,0.4464,0.85,4.88
M157,2019-11,536553,208366,0.441,0.84,4.47
M158,2019-11,3678241,1212214,0.4718,1.0,3.01
M162,2019-11,1712889,586479,0.4609,1.01,1.69
M164,2019-11,440601,139385,0.4394,1.09,2.74
M166,2019-11,1435685,536080,0.4722,1.13,1.27
M170,2019-11,1576933,669242,0.4363,1.02,4.15
M171,2019-11,208942,82534,0.4305,0.85,4.03
M173,2019-11,248272,80219,0.4376,0.83,2.38
M175,2019-11,3373128,1443814,0.4793,0.75,1.58
M176,2019-11,4379252,1580315,0.6519,0.98,3.98
M177,2019-11,471335,154240,0.541,0.85,2.97
M178,2019-11,603115,311284,0.5884,1.05,4.3
M179,2019-11,703369,295101,0.6573,1.49,3.96
M180,2019-11,5332719,1769278,0.6761,1.08,3.03
M184,2019-11,1941845,649052,0.664,1.52,4.35
M188,2019-11,268677,110157,0.6109,1.39,3.02
M190,2019-11,115008,58278,0.5465,0.78,4.48
M196,2019-11,2218152,968767,0.6182,1.3,2.14
M201,2019-11,685105,337811,0.6186,1.26,3.71
M202,2019-11,557086,234729,0.561,0.68,4.65
M205,2019-11,493449,186799,0.5454,0.87,4.87
M208,2019-11,1637597,684233,0.6138,1.11,3.71
M214,2019-11,2601909,1104369,0.6201,1.42,2.5
M215,2019-11,6980520,2631506,0.6599,1.64,3.56
M216,2019-11,493024,227661,0.5956,0.83,4.06
M221,2019-11,4604027,1572627,0.6901,1.44,3.89
M222,2019-11,308097,96387,0.613,0.76,3.83
M102,2019-12,1335826,646613,0.7683,1.71,4.63
M104,2019-12,54035,21525,0.6843,0.98,1.39
M107,2019-12,7520404,3478266,0.7964,1.66,2.34
M108,2019-12,718426,312713,0.6912,1.13,2.04
M109,2019-12,1352876,452209,0.7675,1.86,1.28
M114,2019-12,2123438,849148,0.8234,1.05,4.42
M117,2019-12,3700789,1778870,0.7645,1.37,2.27
M120,2019-12,5271388,1823683,0.7804,1.58,1.02
M123,2019-12,995228,347293,0.6804,1.49,1.35
M126,2019-12,1008124,375202,0.6352,0.79,1.8
M129,2019-12,4921205,2704392,0.6511,1.35,3.51
M130,2019-12,206154,74398,0.5622,1.1,1.67
M134,2019-12,664264,299557,0.5695,0.93,4.55
M136,2019-12,1380830,605673,0.6801,1.65,4.67
M139,2019-12,891903,420751,0.6164,1.21,1.68
M141,2019-12,1223197,451238,0.6419,1.22,1.19
M142,2019-12,381655,139966,0.6077,1.06,2.52
M148,2019-12,1524854,618814,0.6077,0.97,3.65
M149,2019-12,2767844,1270837,0.6703,0.9,3.88
M151,2019-12,122517,62520,0.3973,0.61,3.09
M153,2019-12,5967978,2143045,0.4698,0.69,4.73
M155,2019-12,976874,541554,0.4431,0.92,1.6
M157,2019-12,472320,187697,0.4317,0.65,4.95
M158,2019-12,3340230,1363365,0.4495,0.71,4.21
M162,2019-12,1497168,528296,0.4282,0.99,3.65
M164,2019-12,376900,163831,0.4174,0.55,4.26
M166,2019-12,1228168,520170,0.4751,1.1,4.2
M170,2019-12,1493458,512217,0.4222,1.02,1.64
M171,2019-12,189274,72048,0.4461,0.76,2.43
M173,2019-12,210274,76234,0.4479,1.07,1.45
M175,2019-12,3116468,1671600,0.4646,0.97,4.07
M176,2019-12,4033677,1556792,0.6939,1.3,3.8
M177,2019-12,402535,147643,0.5474,0.93,4.36
M178,2019-12,550023,172805,0.5427,1.25,4.41
M179,2019-12,687792,361081,0.6446,0.82,1.89
M180,2019-12,4873571,2061065,0.6417,1.14,4.43
M184,2019-12,1849144,940470,0.6399,1.11,3.23
M188,2019-12,242186,125663,0.5902,1.1,1.83
M190,2019-12,106614,34056,0.5582,1.0,3.24
M196,2019-12,2055660,834824,0.6379,1.4,1.89
M198,2019-12,1861444,628476,0.6982,1.48,1.18
M201,2019-12,619398,310221,0.6208,1.24,1.75
M202,2019-12,547814,233106,0.5779,0.77,2.66
M205,2019-12,467842,157392,0.5694,1.17,4.82
M208,2019-12,1440705,576660,0.6165,1.41,2.93
M214,2019-12,2333668,755323,0.6189,0.85,2.55
M215,2019-12,6420787,2115041,0.6652,1.59,4.05
M216,2019-12,430838,136816,0.6035,1.05,3.8
M221,2019-12,4194519,1890718,0.6801,1.64,3.53
M222,2019-12,272501,101913,0.6095,1.51,3.6
M102,2020-01,1788057,713666,0.7607,1.26,2.92
M104,2020-01,69116,25279,0.6569,1.03,4.39
M107,2020-01,10363907,4093458,0.7513,1.1,4.0
M108,2020-01,934331,424452,0.6605,1.05,4.01
M109,2020-01,1702623,579195,0.7431,1.73,3.97
M114,2020-01,2659480,1247040,0.8132,1.68,4.71
M117,2020-01,4896982,1559855,0.7868,0.96,2.01
M120,2020-01,6746822,2331881,0.7935,1.68,3.59
M123,2020-01,1345438,524483,0.6962,1.1,1.71
M126,2020-01,1310209,635478,0.6187,1.09,3.23
M129,2020-01,6206135,2370943,0.6428,0.9,1.61
M130,2020-01,268135,143295,0.5866,1.08,3.29
M134,2020-01,820890,283295,0.5659,0.73,3.02
M136,2020-01,1689159,661934,0.6346,1.04,2.44
M139,2020-01,1131290,396426,0.6015,1.49,1.04
M141,2020-01,1625652,670666,0.6802,1.66,3.73
M142,2020-01,462651,150099,0.6172,0.97,4.65
M148,2020-01,2020439,869027,0.6351,1.5,1.77
M149,2020-01,3524462,1126927,0.6434,0.78,1.26
M151,2020-01,166854,57874,0.4317,0.82,3.81
M153,2020-01,8291915,2873858,0.4838,0.68,2.84
M155,2020-01,1261628,656233,0.4087,0.8,1.91
M157,2020-01,620123,264642,0.4235,0.88,3.14
M158,2020-01,4458129,1672411,0.4788,0.62,4.71
M162,2020-01,1894651,652956,0.4351,0.77,2.58
M164,2020-01,510172,207085,0.4187,0.94,3.18
M166,2020-01,1707063,852804,0.4574,0.98,2.49
M170,2020-01,831546,770128,0.1984,0.38,4.79
M171,2020-01,241808,84915,0.4477,0.91,3.05
M173,2020-01,275117,130442,0.4442,0.99,4.41
M175,2020-01,4194592,1350777,0.4977,0.79,1.27
M176,2020-01,4973283,1766190,0.6644,1.36,1.4
M177,2020-01,546812,178687,0.5459,0.87,3.34
M178,2020-01,248222,307650,0.2479,0.37,3.96
M179,2020-01,852779,286537,0.6217,1.12,2.43
M180,2020-01,6093745,2368949,0.6338,1.47,1.56
M184,2020-01,2408830,1110813,0.6543,0.8,3.03
M188,2020-01,313719,119985,0.5753,1.1,3.17
M190,2020-01,141898,57659,0.5738,1.26,3.93
M193,2020-01,7491847,3057171,0.6755,1.39,4.39
M196,2020-01,2701279,1015651,0.6083,0.87,4.79
M198,2020-01,2477717,785372,0.6818,1.01,2.95
M201,2020-01,791892,341743,0.5821,0.97,2.88
M202,2020-01,676643,362808,0.599,1.12,4.32
M205,2020-01,599078,276245,0.5622,0.94,3.61
M208,2020-01,1989119,788291,0.6038,1.0,4.47
M214,2020-01,3007439,1215149,0.6352,0.9,1.31
M215,2020-01,8325102,3971664,0.6443,0.87,1.92
M216,2020-01,585478,208476,0.5741,0.81,4.33
M221,2020-01,5050764,2714877,0.6687,0.84,3.29
M222,2020-01,346895,160483,0.599,1.16,1.07
M102,2020-02,1594987,585006,0.7342,1.83,4.47
M104,2020-02,60641,20469,0.66,0.95,3.64
M107,2020-02,8975283,3189667,0.7611,1.14,2.54
M108,2020-02,847618,406865,0.685,0.96,1.39
M109,2020-02,1621255,609346,0.734,0.99,2.93
M114,2020-02,2326203,879516,0.8094,1.65,3.09
M115,2020-02,7917444,4254829,0.8065,1.8,2.52
M117,2020-02,4552141,1604023,0.7701,1.06,2.91
M120,2020-02,5927583,1974101,0.7582,1.1,3.84
M123,2020-02,2660787,899257,0.9323,1.5,2.45
M126,2020-02,1135730,418747,0.6177,1.03,2.1
M129,2020-02,5966895,2088546,0.6457,1.09,3.22
M130,2020-02,242879,108947,0.5522,1.28,3.64
M134,2020-02,776729,320269,0.58,1.0,2.35
M136,2020-02,1560243,562071,0.6603,0.8,1.36
M139,2020-02,1024233,330802,0.5918,0.77,1.15
M141,2020-02,1442874,453987,0.6607,1.31,4.78
M142,2020-02,442298,164032,0.5869,1.32,2.14
M148,2020-02,1708184,647205,0.6158,0.77,1.96
M149,2020-02,3056929,1513014,0.6798,1.16,3.34
M151,2020-02,149977,52963,0.3884,0.89,4.66
