region,movie_id,month,engagement_score,viewer_growth
East,M139,2019-04,8.5,0.0702
West,M139,2019-04,5.8,0.0797
North,M142,2019-04,7.46,0.1341
South,M142,2019-04,7.22,0.1236
East,M142,2019-04,8.87,0.0548
West,M142,2019-04,7.02,-0.0068
North,M148,2019-04,8.52,0.1391
South,M148,2019-04,7.31,0.0108
East,M148,2019-04,8.42,0.0016
West,M148,2019-04,6.83,0.0994
North,M151,2019-04,4.84,0.0574
South,M151,2019-04,6.73,-0.0055
East,M151,2019-04,4.28,0.0454
West,M151,2019-04,5.08,0.0397
North,M155,2019-04,4.07,0.0393
South,M155,2019-04,6.27,0.0423
East,M155,2019-04,4.49,0.128
West,M155,2019-04,4.41,0.0389
North,M157,2019-04,3.93,0.0729
South,M157,2019-04,7.07,0.0711
East,M157,2019-04,4.94,0.0492
West,M157,2019-04,4.85,0.0045
North,M162,2019-04,4.34,0.0071
South,M162,2019-04,6.91,0.0675
East,M162,2019-04,5.46,0.0419
West,M162,2019-04,4.27,-0.0445
North,M164,2019-04,5.05,0.0279
South,M164,2019-04,6.43,-0.045
East,M164,2019-04,5.29,0.1233
West,M164,2019-04,4.39,0.0116
North,M166,2019-04,4.58,-0.0323
South,M166,2019-04,6.43,-0.0085
East,M166,2019-04,5.24,0.0677
West,M166,2019-04,5.26,-0.0407
North,M170,2019-04,5.19,0.1093
South,M170,2019-04,6.25,0.0512
East,M170,2019-04,3.97,0.0027
West,M170,2019-04,3.97,0.1101
North,M171,2019-04,5.05,-0.0008
South,M171,2019-04,7.77,0.123
East,M171,2019-04,4.0,0.1468
West,M171,2019-04,5.0,0.0842
North,M173,2019-04,3.44,0.002
South,M173,2019-04,5.46,0.0974
East,M173,2019-04,3.56,0.113
West,M173,2019-04,4.58,0.0223
North,M177,2019-04,5.68,0.0879
South,M177,2019-04,7.49,0.0971
East,M177,2019-04,6.5,-0.0326
West,M177,2019-04,6.5,0.0505
North,M178,2019-04,6.44,0.1358
South,M178,2019-04,7.23,0.096
East,M178,2019-04,5.88,-0.0314
West,M178,2019-04,7.71,0.0522
North,M188,2019-04,6.38,0.0423
South,M188,2019-04,7.73,0.0802
East,M188,2019-04,6.61,0.1271
West,M188,2019-04,7.98,0.0246
North,M190,2019-04,5.23,0.1456
South,M190,2019-04,7.63,0.0784
East,M190,2019-04,5.1,0.0903
West,M190,2019-04,,-0.0139
North,M196,2019-04,7.16,0.1317
South,M196,2019-04,9.15,0.1176
East,M196,2019-04,7.11,0.0345
West,M196,2019-04,9.26,-0.039
North,M201,2019-04,5.8,0.0564
South,M201,2019-04,6.42,0.0115
East,M201,2019-04,7.4,0.0682
West,M201,2019-04,5.84,0.0981
North,M202,2019-04,5.81,0.0098
South,M202,2019-04,5.74,-0.0124
East,M202,2019-04,6.34,-0.0467
West,M202,2019-04,6.93,-0.0167
North,M205,2019-04,6.28,0.0462
South,M205,2019-04,5.29,-0.0336
East,M205,2019-04,6.67,0.101
West,M205,2019-04,5.65,0.1234
North,M208,2019-04,6.46,-0.0092
South,M208,2019-04,7.41,-0.0347
East,M208,2019-04,,0.0211
West,M208,2019-04,6.22,0.1389
North,M214,2019-04,6.74,0.1129
South,M214,2019-04,6.6,0.1371
East,M214,2019-04,7.46,-0.0164
West,M214,2019-04,6.14,0.0156
North,M216,2019-04,6.85,-0.0384
South,M216,2019-04,6.25,0.1272
East,M216,2019-04,6.68,-0.0158
West,M216,2019-04,7.09,0.0161
North,M222,2019-04,7.38,0.1446
South,M222,2019-04,5.99,0.1016
East,M222,2019-04,6.12,0.1385
West,M222,2019-04,5.96,0.0565
North,M102,2019-05,8.91,0.1283
South,M102,2019-05,8.53,0.1486
East,M102,2019-05,8.93,0.0016
West,M102,2019-05,7.77,0.0907
North,M104,2019-05,8.24,0.1329
South,M104,2019-05,6.48,0.024
East,M104,2019-05,7.2,0.1456
West,M104,2019-05,7.97,0.0971
North,M108,2019-05,6.3,0.0129
South,M108,2019-05,7.04,-0.0319
East,M108,2019-05,6.27,-0.0324
West,M108,2019-05,6.59,0.0782
North,M123,2019-05,7.04,0.1405
South,M123,2019-05,6.96,-0.0382
East,M123,2019-05,,0.0382
West,M123,2019-05,6.49,0.1287
North,M126,2019-05,8.7,0.0315
South,M126,2019-05,6.74,0.1036
East,M126,2019-05,8.11,0.1179
West,M126,2019-05,6.38,0.0111
North,M130,2019-05,9.06,0.1066
South,M130,2019-05,6.7,0.0682
East,M130,2019-05,7.36,0.1215
West,M130,2019-05,6.41,-0.039
North,M134,2019-05,7.45,0.0736
South,M134,2019-05,6.5,0.0339
East,M134,2019-05,7.05,0.0265
West,M134,2019-05,6.31,-0.0313
North,M139,2019-05,7.31,0.118
South,M139,2019-05,6.71,-0.0235
East,M139,2019-05,8.52,0.098
West,M139,2019-05,6.11,0.1148
North,M142,2019-05,9.17,-0.0333
South,M142,2019-05,7.02,0.0776
East,M142,2019-05,7.66,0.1171
West,M142,2019-05,6.53,-0.0208
North,M148,2019-05,8.47,0.0493
South,M148,2019-05,7.07,0.0992
East,M148,2019-05,7.43,-0.0222
West,M148,2019-05,7.07,0.1374
North,M151,2019-05,4.69,0.102
South,M151,2019-05,6.51,0.0907
East,M151,2019-05,3.73,0.142
West,M151,2019-05,4.74,0.0035
North,M155,2019-05,4.15,-0.0242
South,M155,2019-05,7.09,0.1379
East,M155,2019-05,3.76,0.009
West,M155,2019-05,3.84,-0.0411
North,M157,2019-05,4.92,0.1351
South,M157,2019-05,6.91,-0.0205
East,M157,2019-05,4.83,-0.0468
West,M157,2019-05,4.33,-0.0443
North,M162,2019-05,5.29,0.0024
South,M162,2019-05,6.67,0.0101
East,M162,2019-05,4.67,0.1109
West,M162,2019-05,5.1,0.0182
North,M164,2019-05,4.78,0.1241
South,M164,2019-05,6.57,0.0669
East,M164,2019-05,4.01,0.0876
West,M164,2019-05,3.76,0.0278
North,M166,2019-05,5.04,0.1111
South,M166,2019-05,6.38,0.0562
East,M166,2019-05,5.64,0.126
West,M166,2019-05,4.48,0.1323
North,M170,2019-05,4.8,-0.0352
South,M170,2019-05,6.41,0.0333
East,M170,2019-05,3.83,0.1187
West,M170,2019-05,3.62,-0.0305
North,M171,2019-05,5.25,0.0264
South,M171,2019-05,7.79,0.0678
East,M171,2019-05,5.12,0.1264
West,M171,2019-05,5.3,-0.0071
North,M173,2019-05,3.38,0.102
South,M173,2019-05,6.76,0.0542
East,M173,2019-05,4.94,0.096
West,M173,2019-05,4.46,0.0639
North,M177,2019-05,5.47,0.1007
South,M177,2019-05,6.84,0.0962
East,M177,2019-05,6.77,0.0381
West,M177,2019-05,7.44,0.1265
North,M178,2019-05,6.84,-0.007
South,M178,2019-05,6.52,0.0957
East,M178,2019-05,5.18,0.0487
West,M178,2019-05,8.02,0.0521
North,M184,2019-05,6.72,0.0557
South,M184,2019-05,8.89,0.0163
East,M184,2019-05,7.06,0.1282
West,M184,2019-05,8.09,0.0825
North,M188,2019-05,6.29,-0.0182
South,M188,2019-05,8.27,0.1302
East,M188,2019-05,6.49,-0.0063
West,M188,2019-05,6.95,0.0374
North,M190,2019-05,6.11,0.057
South,M190,2019-05,7.21,0.0345
East,M190,2019-05,6.9,0.0505
West,M190,2019-05,7.83,0.0148
North,M196,2019-05,6.83,0.0038
South,M196,2019-05,7.97,0.065
East,M196,2019-05,6.39,0.0215
West,M196,2019-05,7.81,0.0145
North,M201,2019-05,6.02,0.016
South,M201,2019-05,6.59,0.09
East,M201,2019-05,6.31,0.0415
West,M201,2019-05,5.88,-0.0371
North,M202,2019-05,6.23,0.0272
South,M202,2019-05,6.74,0.0357
East,M202,2019-05,5.61,0.0996
West,M202,2019-05,5.2,0.0486
North,M205,2019-05,5.69,0.0726
South,M205,2019-05,5.88,0.1035
East,M205,2019-05,6.73,0.1273
West,M205,2019-05,6.4,0.0698
North,M208,2019-05,6.08,0.1327
South,M208,2019-05,5.71,0.0202
East,M208,2019-05,6.61,0.117
West,M208,2019-05,6.4,-0.0425
North,M214,2019-05,7.04,0.0451
South,M214,2019-05,6.8,0.0062
East,M214,2019-05,5.77,0.0583
West,M214,2019-05,7.01,0.0826
North,M216,2019-05,5.54,0.0607
South,M216,2019-05,6.34,0.0008
East,M216,2019-05,6.52,-0.0334
West,M216,2019-05,6.47,-0.0433
North,M222,2019-05,5.73,0.132
South,M222,2019-05,6.82,0.1209
East,M222,2019-05,7.45,-0.0016
West,M222,2019-05,7.3,0.03
North,M102,2019-06,8.61,0.0192
South,M102,2019-06,7.64,-0.0468
East,M102,2019-06,7.61,0.0286
West,M102,2019-06,8.35,0.1212
North,M104,2019-06,7.67,0.0306
South,M104,2019-06,7.21,-0.0404
East,M104,2019-06,6.47,0.135
West,M104,2019-06,7.51,0.0647
North,M108,2019-06,6.58,0.0921
South,M108,2019-06,8.01,0.0389
East,M108,2019-06,7.62,0.1106
West,M108,2019-06,7.1,0.1462
North,M109,2019-06,8.71,0.144
South,M109,2019-06,8.4,0.0798
East,M109,2019-06,8.26,0.1222
West,M109,2019-06,8.3,0.125
North,M117,2019-06,8.26,-0.0183
South,M117,2019-06,7.52,0.1385
East,M117,2019-06,7.9,0.0524
West,M117,2019-06,7.74,0.0392
North,M123,2019-06,7.62,0.1162
South,M123,2019-06,8.06,0.1063
East,M123,2019-06,7.53,-0.03
West,M123,2019-06,7.41,0.0249
North,M126,2019-06,7.93,0.0876
South,M126,2019-06,6.36,0.0708
East,M126,2019-06,8.12,-0.0299
West,M126,2019-06,7.6,-0.0144
North,M130,2019-06,8.04,0.0535
South,M130,2019-06,6.07,0.0452
East,M130,2019-06,7.4,0.0258
West,M130,2019-06,5.42,0.0463
North,M134,2019-06,7.79,0.0726
South,M134,2019-06,6.51,0.0777
East,M134,2019-06,7.68,0.0364
West,M134,2019-06,6.15,0.0173
North,M139,2019-06,7.96,0.1401
South,M139,2019-06,6.71,0.0031
East,M139,2019-06,8.36,0.0474
West,M139,2019-06,7.15,0.0097
North,M142,2019-06,7.49,0.0687
South,M142,2019-06,6.29,0.0828
East,M142,2019-06,7.48,0.0787
West,M142,2019-06,6.28,0.1033
North,M148,2019-06,8.92,0.0826
South,M148,2019-06,7.32,0.0888
East,M148,2019-06,8.65,0.1385
West,M148,2019-06,6.62,0.0303
North,M151,2019-06,3.59,0.0796
South,M151,2019-06,6.82,-0.031
East,M151,2019-06,4.45,0.0248
West,M151,2019-06,3.81,-0.0197
North,M155,2019-06,5.35,0.1433
South,M155,2019-06,6.42,0.105
East,M155,2019-06,5.13,0.1173
West,M155,2019-06,4.6,0.1166
North,M157,2019-06,4.27,0.0807
South,M157,2019-06,6.4,0.1296
East,M157,2019-06,4.61,0.0756
West,M157,2019-06,3.78,-0.0165
North,M162,2019-06,4.12,0.1074
South,M162,2019-06,7.09,0.0101
East,M162,2019-06,4.63,0.1114
West,M162,2019-06,5.69,0.0933
North,M164,2019-06,3.87,0.0839
South,M164,2019-06,6.3,0.1141
East,M164,2019-06,3.85,0.0612
West,M164,2019-06,4.79,0.1489
North,M166,2019-06,4.77,0.1378
South,M166,2019-06,6.6,-0.0426
East,M166,2019-06,4.65,0.1149
West,M166,2019-06,3.93,0.0196
North,M170,2019-06,4.99,-0.0421
South,M170,2019-06,5.93,0.138
East,M170,2019-06,4.55,0.0039
West,M170,2019-06,3.7,0.0901
North,M171,2019-06,3.79,0.0128
South,M171,2019-06,5.63,-0.0188
East,M171,2019-06,4.94,0.1121
West,M171,2019-06,3.91,0.1083
North,M173,2019-06,4.78,0.0854
South,M173,2019-06,6.39,0.0357
East,M173,2019-06,5.61,0.0848
West,M173,2019-06,4.32,0.0315
North,M177,2019-06,5.87,-0.0234
South,M177,2019-06,7.44,-0.0329
East,M177,2019-06,5.31,0.1141
West,M177,2019-06,7.87,-0.0351
North,M178,2019-06,5.16,0.1322
South,M178,2019-06,6.85,0.012
East,M178,2019-06,6.01,0.1202
West,M178,2019-06,8.08,0.0925
North,M179,2019-06,7.43,0.1037
South,M179,2019-06,9.49,0.0036
East,M179,2019-06,7.9,0.1035
West,M179,2019-06,9.66,0.0828
North,M184,2019-06,7.67,-0.0043
South,M184,2019-06,8.27,0.1187
East,M184,2019-06,6.96,0.1149
West,M184,2019-06,8.57,0.0185
North,M188,2019-06,6.96,-0.0025
South,M188,2019-06,8.04,0.1392
East,M188,2019-06,6.48,-0.0217
West,M188,2019-06,7.59,0.0281
North,M190,2019-06,6.75,0.112
South,M190,2019-06,7.69,0.1094
East,M190,2019-06,5.21,0.0815
West,M190,2019-06,6.99,0.0255
North,M196,2019-06,7.32,0.1079
South,M196,2019-06,8.18,-0.0207
East,M196,2019-06,6.14,0.0112
West,M196,2019-06,9.04,0.0403
North,M201,2019-06,6.03,0.0255
South,M201,2019-06,6.25,0.025
East,M201,2019-06,7.14,0.1349
West,M201,2019-06,5.72,0.1045
North,M202,2019-06,6.25,0.131
South,M202,2019-06,5.87,0.1343
East,M202,2019-06,5.56,0.0874
West,M202,2019-06,5.48,0.1151
North,M205,2019-06,6.13,0.0686
South,M205,2019-06,5.73,0.0358
East,M205,2019-06,5.45,0.1057
West,M205,2019-06,5.4,-0.0339
North,M208,2019-06,6.23,-0.0444
South,M208,2019-06,5.62,-0.0012
East,M208,2019-06,5.95,-0.0381
West,M208,2019-06,5.66,-0.0162
North,M214,2019-06,6.15,-0.0109
South,M214,2019-06,6.75,0.029
East,M214,2019-06,6.32,-0.0408
West,M214,2019-06,6.88,0.0823
North,M216,2019-06,8.7,0.0587
South,M216,2019-06,9.28,0.0981
East,M216,2019-06,8.48,0.0808
West,M216,2019-06,9.11,0.0332
North,M222,2019-06,7.27,-0.0416
South,M222,2019-06,6.44,0.029
East,M222,2019-06,5.45,0.0502
West,M222,2019-06,6.98,-0.0048
North,M102,2019-07,8.54,0.119
South,M102,2019-07,8.2,0.0013
East,M102,2019-07,7.75,0.0678
West,M102,2019-07,7.05,0.0936
North,M104,2019-07,7.55,0.0863
South,M104,2019-07,6.95,0.1092
East,M104,2019-07,7.32,0.0939
West,M104,2019-07,7.68,-0.0041
North,M108,2019-07,8.76,0.1496
South,M108,2019-07,9.91,0.0865
East,M108,2019-07,8.75,0.1227
West,M108,2019-07,9.62,0.0294
North,M109,2019-07,8.08,0.0429
South,M109,2019-07,7.01,-0.0264
East,M109,2019-07,7.65,0.0697
West,M109,2019-07,8.26,-0.0223
North,M117,2019-07,8.72,0.0303
South,M117,2019-07,6.98,0.0347
East,M117,2019-07,8.44,0.0601
West,M117,2019-07,7.99,0.0053
North,M123,2019-07,6.13,0.1356
South,M123,2019-07,6.57,0.0236
East,M123,2019-07,6.57,0.0096
West,M123,2019-07,7.47,-0.0335
North,M126,2019-07,8.26,0.1271
South,M126,2019-07,6.14,0.0123
East,M126,2019-07,9.28,-0.0065
West,M126,2019-07,6.87,-0.0448
North,M130,2019-07,7.36,-0.0406
South,M130,2019-07,6.79,0.1322
East,M130,2019-07,7.52,0.0161
West,M130,2019-07,6.2,0.0913
North,M134,2019-07,,-0.0059
South,M134,2019-07,6.48,0.0408
East,M134,2019-07,7.6,0.1214
West,M134,2019-07,6.26,0.0191
North,M139,2019-07,7.94,0.1287
South,M139,2019-07,5.72,0.132
East,M139,2019-07,,-0.0314
