movie_id,month,campaign_type,platform,spend,ctr
M110,2020-05,Social Media,Google,90000,0.0445
M110,2020-05,Search,Google,17000,0.0255
M110,2020-06,Social Media,Google,134000,0.0287
M110,2020-06,Search,TikTok,70000,0.0596
M111,2023-06,Social Media,TikTok,35000,0.0549
M111,2023-06,Search,Google,126000,0.0171
M111,2023-07,Social Media,Meta,106000,0.0558
M111,2023-07,Search,YouTube,101432,0.0131
M111,2023-08,Social Media,TikTok,131000,0.0625
M111,2023-08,Search,YouTube,121000,0.0447
M112,2020-12,Social Media,TikTok,91000,0.0154
M112,2020-12,Search,YouTube,12000,0.0159
M112,2021-01,Social Media,YouTube,49000,0.0577
M112,2021-01,Search,YouTube,23000,0.0113
M112,2021-02,Social Media,Meta,99000,0.034
M112,2021-02,Search,Google,50000,0.0532
M113,2023-08,Social Media,Google,121000,0.0323
M113,2023-08,Search,Meta,147000,0.0593
M113,2023-09,Social Media,Meta,105000,0.0514
M113,2023-09,Search,TikTok,63000,0.0569
M113,2023-10,Social Media,TikTok,93000,0.0472
M113,2023-10,Search,YouTube,148659,0.0165
M114,2019-10,Social Media,YouTube,26000,0.0504
M114,2019-10,Search,YouTube,138000,0.0424
M114,2019-11,Social Media,Meta,106000,0.0389
M114,2019-11,Search,TikTok,27000,0.0238
M114,2019-12,Social Media,Meta,44000,0.0353
M114,2019-12,Search,YouTube,83000,0.0128
M115,2019-12,Social Media,YouTube,92000,0.0292
M115,2019-12,Search,Google,34000,0.0175
M115,2020-01,Social Media,YouTube,145000,0.0384
M115,2020-01,Search,Meta,150000,0.0587
M115,2020-02,Social Media,Google,149000,0.0572
M115,2020-02,Search,YouTube,127000,0.0135
M116,2021-03,Social Media,YouTube,105000,0.0272
M116,2021-03,Search,YouTube,96000,0.03
M116,2021-04,Social Media,YouTube,156934,0.0093
M116,2021-04,Search,Meta,102000,0.0105
M116,2021-05,Social Media,TikTok,95000,0.0152
M116,2021-05,Search,YouTube,120000,0.0518
M117,2019-04,Social Media,Google,99000,0.0409
M117,2019-04,Search,Meta,127000,0.0314
M117,2019-05,Social Media,Google,131000,0.0386
M117,2019-05,Search,YouTube,134000,0.0233
M117,2019-06,Social Media,TikTok,58000,0.0263
M117,2019-06,Search,Google,14000,0.0396
M118,2023-09,Social Media,Meta,137000,0.0163
M118,2023-09,Search,YouTube,74000,0.0438
M118,2023-10,Social Media,Meta,22000,0.0198
M118,2023-10,Search,YouTube,70000,0.0342
M118,2023-11,Social Media,Meta,66000,
M118,2023-11,Search,TikTok,35000,0.0598
M119,2023-01,Social Media,TikTok,146000,0.0673
M119,2023-01,Search,TikTok,65000,0.05
M119,2023-02,Social Media,TikTok,77000,0.05
M119,2023-02,Search,Google,110000,0.0307
M119,2023-03,Social Media,Google,20000,0.0139
M119,2023-03,Search,YouTube,65000,0.0372
M120,2019-06,Social Media,Google,33000,0.0527
M120,2019-06,Search,TikTok,126000,0.037
M120,2019-07,Social Media,YouTube,126000,0.041
M120,2019-07,Search,YouTube,82000,0.054
M120,2019-08,Social Media,YouTube,98000,0.0435
M120,2019-08,Search,Google,85000,0.0236
M121,2023-10,Social Media,TikTok,74000,
M121,2023-10,Search,TikTok,103000,0.0308
M121,2023-11,Social Media,Google,147000,0.0452
M121,2023-11,Search,TikTok,70000,0.0489
M121,2023-12,Social Media,Google,137000,0.0375
M121,2023-12,Search,Meta,21000,0.0184
M122,2023-04,Social Media,Meta,69000,0.0656
M122,2023-04,Search,Google,57000,0.0291
M122,2023-05,Social Media,Meta,37000,0.0436
M122,2023-05,Search,YouTube,150000,0.0358
M122,2023-06,Social Media,YouTube,105000,0.0571
M122,2023-06,Search,YouTube,61000,0.0139
M124,2022-10,Social Media,Google,37000,0.0688
M124,2022-10,Search,Meta,131000,0.0194
M124,2022-11,Social Media,YouTube,124000,0.0222
M124,2022-11,Search,TikTok,133000,0.0482
M124,2022-12,Social Media,Google,51000,0.0649
M124,2022-12,Search,TikTok,60000,0.016
M125,2023-06,Social Media,YouTube,87000,0.0129
M125,2023-06,Search,TikTok,125000,0.0198
M125,2023-07,Social Media,TikTok,36000,0.0568
M125,2023-07,Search,Google,24000,0.0292
M125,2023-08,Social Media,Google,77000,0.021
M125,2023-08,Search,Meta,76000,0.0267
M126,2019-03,Social Media,TikTok,84000,0.0152
M126,2019-03,Search,TikTok,70000,0.0256
M126,2019-04,Social Media,TikTok,32000,0.0435
M126,2019-04,Search,Meta,74000,0.0403
M126,2019-05,Social Media,YouTube,72000,0.0346
M126,2019-05,Search,TikTok,34000,0.0509
M127,2022-03,Social Media,Google,37000,0.0348
M127,2022-03,Search,Google,131000,0.0214
M127,2022-04,Social Media,TikTok,11000,0.0554
M127,2022-04,Search,Google,139000,0.0134
M127,2022-05,Social Media,Google,133000,0.0505
M127,2022-05,Search,Google,36000,0.0256
M128,2022-05,Social Media,Meta,93000,0.0439
M128,2022-05,Search,TikTok,108000,0.0375
M128,2022-06,Social Media,Google,119000,0.0556
M128,2022-06,Search,Google,71000,0.0547
M128,2022-07,Social Media,Meta,145000,0.0204
M128,2022-07,Search,YouTube,15000,0.0512
M129,2019-07,Social Media,YouTube,89000,0.0462
M129,2019-07,Search,YouTube,105102,0.0028
M129,2019-08,Social Media,Meta,22000,0.0356
M129,2019-08,Search,Meta,23000,0.0114
M129,2019-09,Social Media,TikTok,45000,0.0504
M129,2019-09,Search,Google,66000,0.0516
M131,2021-05,Social Media,Google,63000,0.0208
M131,2021-05,Search,Meta,22000,0.023
M131,2021-06,Social Media,Google,52000,0.0371
M131,2021-06,Search,Meta,62000,0.0126
M131,2021-07,Social Media,YouTube,129000,0.0653
M131,2021-07,Search,TikTok,59000,0.0439
M132,2020-07,Social Media,YouTube,85000,0.0173
M132,2020-07,Search,TikTok,16000,0.0405
M132,2020-08,Social Media,Meta,75000,0.0541
M132,2020-08,Search,YouTube,39000,0.0558
M132,2020-09,Social Media,YouTube,32000,0.0451
M132,2020-09,Search,Meta,50000,0.0449
M133,2023-07,Social Media,Meta,119000,0.0144
M133,2023-07,Search,TikTok,52000,0.0195
M133,2023-08,Social Media,Google,58000,0.0443
M133,2023-08,Search,Google,104000,0.0538
M133,2023-09,Social Media,Meta,26000,0.0505
M133,2023-09,Search,Google,79000,0.0411
M135,2023-10,Social Media,Google,36000,0.0217
M135,2023-10,Search,TikTok,121000,0.0201
M135,2023-11,Social Media,YouTube,98000,0.0583
M135,2023-11,Search,TikTok,30000,0.0184
M135,2023-12,Social Media,Google,101000,0.0592
M135,2023-12,Search,Google,55000,0.0137
M136,2019-07,Social Media,TikTok,83000,0.0438
M136,2019-07,Search,TikTok,83000,0.0382
M136,2019-08,Social Media,Meta,143000,0.0585
M136,2019-08,Search,Meta,105000,0.0534
M136,2019-09,Social Media,YouTube,97000,0.0445
M136,2019-09,Search,TikTok,100000,0.0132
M137,2022-08,Social Media,Meta,117000,0.0687
M137,2022-08,Search,Google,75000,0.0335
M137,2022-09,Social Media,YouTube,116000,0.0655
M137,2022-09,Search,YouTube,19000,0.05
M137,2022-10,Social Media,Meta,45000,0.0246
M137,2022-10,Search,Meta,34000,0.053
M138,2020-01,Social Media,Google,58000,0.0177
M138,2020-01,Search,Meta,42000,0.0568
M138,2020-02,Social Media,Google,115000,0.0472
M138,2020-02,Search,YouTube,91000,0.0201
M138,2020-03,Social Media,TikTok,78000,0.0261
M138,2020-03,Search,YouTube,136000,0.0375
M140,2020-03,Social Media,Meta,41000,0.0419
M140,2020-03,Search,TikTok,118000,0.0368
M140,2020-04,Social Media,YouTube,58000,0.0269
M140,2020-04,Search,Meta,63000,0.0196
M140,2020-05,Social Media,YouTube,32000,0.0118
M140,2020-05,Search,Google,126000,0.0224
M141,2019-08,Social Media,TikTok,85000,0.027
M141,2019-08,Search,Meta,121000,0.0419
M141,2019-09,Social Media,Meta,65000,0.0265
M141,2019-09,Search,YouTube,13000,0.0411
M141,2019-10,Social Media,TikTok,105000,0.0106
M141,2019-10,Search,YouTube,65000,0.0434
M143,2022-01,Social Media,Google,84000,0.0457
M143,2022-01,Search,YouTube,109000,0.0159
M143,2022-02,Social Media,TikTok,19000,0.0205
M143,2022-02,Search,TikTok,93000,0.036
M143,2022-03,Social Media,YouTube,63000,0.032
M143,2022-03,Search,TikTok,43000,0.0352
M144,2022-05,Social Media,Google,121000,0.0421
M144,2022-05,Search,TikTok,148000,0.0517
M144,2022-06,Social Media,TikTok,51000,0.0668
M144,2022-06,Search,Google,100000,0.0532
M144,2022-07,Social Media,Google,128000,0.0244
M144,2022-07,Search,TikTok,84000,0.0475
M145,2023-10,Social Media,YouTube,136000,0.016
M145,2023-10,Search,Google,46000,0.033
M145,2023-11,Social Media,Google,150000,0.035
M145,2023-11,Search,YouTube,143000,0.025
M145,2023-12,Social Media,YouTube,77000,0.046
M145,2023-12,Search,TikTok,53000,0.0273
M146,2021-09,Social Media,YouTube,21000,0.0375
M146,2021-09,Search,YouTube,21000,0.0441
M146,2021-10,Social Media,Google,91000,0.0194
M146,2021-10,Search,YouTube,10000,0.0279
M146,2021-11,Social Media,Meta,71000,0.0525
M146,2021-11,Search,Meta,112000,0.0554
M147,2022-06,Social Media,Google,53000,0.0602
M147,2022-06,Search,Google,66000,0.045
M147,2022-07,Social Media,Google,64000,0.048
M147,2022-07,Search,Google,42000,0.0227
M147,2022-08,Social Media,TikTok,80000,0.0203
M147,2022-08,Search,TikTok,145000,0.0426
M148,2019-01,Social Media,YouTube,138000,0.0528
M148,2019-01,Search,TikTok,52000,0.0176
M148,2019-02,Social Media,YouTube,41000,0.0568
M148,2019-02,Search,TikTok,204826,0.003
M149,2019-08,Social Media,Google,73000,0.0279
M149,2019-08,Search,YouTube,29000,0.0137
M149,2019-09,Social Media,Meta,122000,0.0127
M149,2019-09,Search,YouTube,71000,0.0349
M149,2019-10,Social Media,Google,88000,0.0549
M149,2019-10,Search,YouTube,150000,0.033
M150,2022-11,Social Media,Meta,136000,0.0203
M150,2022-11,Search,Google,68000,0.0112
M150,2022-12,Social Media,Google,107000,0.0465
M150,2022-12,Search,YouTube,27000,0.0195
M150,2023-01,Social Media,Google,101000,0.0175
M150,2023-01,Search,TikTok,148000,0.0475
M152,2023-06,Social Media,YouTube,120000,0.0238
M152,2023-06,Search,Google,17000,0.0598
M152,2023-07,Social Media,Google,40000,0.0268
M152,2023-07,Search,YouTube,60000,0.0529
M152,2023-08,Social Media,Meta,63000,0.0361
M152,2023-08,Search,Meta,94000,0.0142
M153,2019-10,Social Media,Google,141000,0.0477
M153,2019-10,Search,Meta,65000,0.0515
M153,2019-11,Social Media,TikTok,124000,0.0481
M153,2019-11,Search,Meta,100000,0.0587
M153,2019-12,Social Media,TikTok,98000,0.0188
M153,2019-12,Search,Meta,85000,0.0103
M154,2021-05,Social Media,TikTok,29000,0.0314
M154,2021-05,Search,Google,138000,0.0202
M154,2021-06,Social Media,YouTube,13000,0.0184
M154,2021-06,Search,YouTube,58000,0.0425
M154,2021-07,Social Media,Meta,98000,0.0195
M154,2021-07,Search,YouTube,115000,0.0567
M156,2021-10,Social Media,Google,57000,0.0667
M156,2021-10,Search,TikTok,82000,0.0201
M156,2021-11,Social Media,Meta,120000,0.0407
M156,2021-11,Search,YouTube,108000,0.0398
M156,2021-12,Social Media,Meta,69000,0.0244
M156,2021-12,Search,YouTube,50738,0.0146
M158,2019-07,Social Media,YouTube,108000,0.0135
M158,2019-07,Search,TikTok,148000,0.0276
M158,2019-08,Social Media,Google,41000,0.0587
M158,2019-08,Search,TikTok,93000,0.0587
M158,2019-09,Social Media,TikTok,141000,0.054
M158,2019-09,Search,YouTube,90000,0.0455
M159,2020-06,Social Media,Meta,107000,0.0291
M159,2020-06,Search,YouTube,58000,0.0179
M159,2020-07,Social Media,YouTube,150000,0.0352
M159,2020-07,Search,Google,58000,0.0127
M159,2020-08,Social Media,YouTube,133000,0.0468
M159,2020-08,Search,Meta,30000,0.0192
M160,2021-07,Social Media,Google,69000,0.0644
M160,2021-07,Search,YouTube,34000,0.0447
M160,2021-08,Social Media,Meta,128000,0.0211
M160,2021-08,Search,Google,105000,0.0468
M160,2021-09,Social Media,TikTok,27000,0.0183
M160,2021-09,Search,TikTok,130000,0.056
M161,2023-07,Social Media,TikTok,50000,0.0383
M161,2023-07,Search,Google,146000,
M161,2023-08,Social Media,TikTok,56000,0.0198
M161,2023-08,Search,TikTok,94000,0.0152
M161,2023-09,Social Media,Meta,96000,0.0396
M161,2023-09,Search,Google,15000,0.0291
M162,2019-01,Social Media,Meta,41000,0.0394
M162,2019-01,Search,Google,141000,0.014
M162,2019-02,Social Media,Google,70000,0.0561
M162,2019-02,Search,YouTube,31000,0.039
M162,2019-03,Social Media,Google,122000,0.0395
M162,2019-03,Search,Google,10000,0.0599
M163,2020-11,Social Media,Meta,23000,0.0534
M163,2020-11,Search,YouTube,122000,0.0148
M163,2020-12,Social Media,Google,46000,0.0453
M163,2020-12,Search,Meta,38000,0.0498
M163,2021-01,Social Media,Google,114000,0.0605
M163,2021-01,Search,Meta,39000,0.0572
M165,2023-10,Social Media,Google,71000,0.0424
M165,2023-10,Search,TikTok,133000,0.0456
M165,2023-11,Social Media,Google,115000,0.0676
M165,2023-11,Search,Meta,78000,0.0161
M165,2023-12,Social Media,TikTok,144000,0.033
M165,2023-12,Search,Google,142000,0.0137
M166,2019-02,Social Media,YouTube,121000,0.0305
M166,2019-02,Search,YouTube,58000,0.0185
M166,2019-03,Social Media,Google,25000,0.0544
M166,2019-03,Search,Google,143000,0.0486
M166,2019-04,Social Media,YouTube,40000,0.052
M166,2019-04,Search,Google,23000,0.0147
M167,2022-10,Social Media,TikTok,73000,0.0654
M167,2022-10,Search,Google,140000,0.0182
M167,2022-11,Social Media,Google,22000,0.0443
M167,2022-11,Search,TikTok,119000,0.0214
M167,2022-12,Social Media,Meta,111000,0.0149
M167,2022-12,Search,TikTok,128000,0.0364
M168,2023-04,Social Media,YouTube,141000,0.0583
M168,2023-04,Search,TikTok,60000,0.0522
M168,2023-05,Social Media,Google,21000,0.0329
M168,2023-05,Search,Meta,194944,0.0045
M168,2023-06,Social Media,Meta,34000,0.0249
M168,2023-06,Search,Google,89000,0.0415
M169,2022-06,Social Media,TikTok,69000,0.0133
M169,2022-06,Search,TikTok,146000,0.0413
M169,2022-07,Social Media,YouTube,66000,0.03
M169,2022-07,Search,Meta,33000,0.0395
M169,2022-08,Social Media,YouTube,100557,0.0093
M169,2022-08,Search,TikTok,60000,0.0415
M170,2019-01,Social Media,TikTok,164682,0.003
M170,2019-01,Search,Meta,78000,0.0527
M172,2022-02,Social Media,Google,17000,0.0679
M172,2022-02,Search,TikTok,143000,0.0559
M172,2022-03,Social Media,Google,110000,0.0483
M172,2022-03,Search,Google,24000,0.0263
M172,2022-04,Social Media,TikTok,137000,0.0574
M172,2022-04,Search,YouTube,60000,0.0425
M174,2022-07,Social Media,Google,114000,0.0125
M174,2022-07,Search,YouTube,38000,0.0339
M174,2022-08,Social Media,TikTok,17000,0.0158
M174,2022-08,Search,YouTube,144000,0.0561
M174,2022-09,Social Media,Google,149000,0.0596
M174,2022-09,Search,YouTube,141000,0.057
M175,2019-09,Social Media,TikTok,88000,0.0341
M175,2019-09,Search,Google,32000,0.0513
M175,2019-10,Social Media,Google,109000,0.0581
M175,2019-10,Search,TikTok,35000,0.044
M175,2019-11,Social Media,YouTube,34000,0.0268
M175,2019-11,Search,YouTube,40000,0.017
M176,2019-09,Social Media,Google,96000,0.0413
M176,2019-09,Search,TikTok,118000,0.0345
M176,2019-10,Social Media,TikTok,56000,0.0281
M176,2019-10,Search,Meta,117000,0.0139
M176,2019-11,Social Media,Google,58000,0.0274
M176,2019-11,Search,TikTok,147000,0.0124
M179,2019-04,Social Media,Google,142000,
M179,2019-04,Search,TikTok,62000,0.024
M179,2019-05,Social Media,YouTube,148000,0.0287
M179,2019-05,Search,Meta,26000,0.0456
M179,2019-06,Social Media,TikTok,12000,0.0383
M179,2019-06,Search,YouTube,117000,0.0272
M180,2019-06,Social Media,Google,37000,0.0546
M180,2019-06,Search,YouTube,10000,0.0174
M180,2019-07,Social Media,TikTok,21000,0.0405
M180,2019-07,Search,YouTube,11000,0.0236
M180,2019-08,Social Media,Google,38000,0.0358
M180,2019-08,Search,TikTok,145000,0.0477
M181,2023-07,Social Media,TikTok,30000,0.0368
M181,2023-07,Search,TikTok,27000,0.0328
M181,2023-08,Social Media,YouTube,86000,0.068
M181,2023-08,Search,TikTok,101000,0.0527
M181,2023-09,Social Media,YouTube,148000,0.0447
M181,2023-09,Search,TikTok,45000,0.0229
M182,2020-09,Social Media,TikTok,19000,0.0281
M182,2020-09,Search,Google,96000,0.0566
M182,2020-10,Social Media,TikTok,85000,0.0521
M182,2020-10,Search,YouTube,123000,0.0358
M182,2020-11,Social Media,Meta,35000,0.0213
M182,2020-11,Search,YouTube,144000,0.0331
M183,2019-12,Social Media,Google,86000,0.0538
M183,2019-12,Search,YouTube,64000,0.0376
M183,2020-01,Social Media,TikTok,89000,0.0108
M183,2020-01,Search,Meta,60000,0.0498
M183,2020-02,Social Media,Meta,65000,0.0305
M183,2020-02,Search,Google,22000,0.0351
M184,2019-03,Social Media,Meta,85000,0.0255
M184,2019-03,Search,YouTube,55000,0.0518
M184,2019-04,Social Media,YouTube,92000,0.0248
M184,2019-04,Search,TikTok,134000,0.033
M184,2019-05,Social Media,Google,10000,0.0386
M184,2019-05,Search,Google,111000,0.0323
M185,2020-02,Social Media,Google,40000,0.0146
M185,2020-02,Search,TikTok,113000,0.0465
M185,2020-03,Social Media,YouTube,44000,0.0134
M185,2020-03,Search,Google,46000,0.0363
M185,2020-04,Social Media,Google,105000,0.0112
M185,2020-04,Search,TikTok,80000,0.0137
M186,2021-03,Social Media,Meta,70000,0.0145
M186,2021-03,Search,Meta,137000,0.0286
M186,2021-04,Social Media,Meta,15000,0.0218
M186,2021-04,Search,YouTube,64000,0.0382
M186,2021-05,Social Media,YouTube,40000,0.0567
M186,2021-05,Search,Google,126000,0.0192
M187,2023-05,Social Media,Meta,142000,0.0708
M187,2023-05,Search,TikTok,129000,0.0546
M187,2023-06,Social Media,Google,131000,0.0487
M187,2023-06,Search,Google,62000,0.0515
M187,2023-07,Social Media,YouTube,139000,0.029
M187,2023-07,Search,Google,134000,0.0321
M189,2021-07,Social Media,TikTok,121000,0.0596
M189,2021-07,Search,Meta,150000,0.0286
M189,2021-08,Social Media,Meta,80000,0.0203
M189,2021-08,Search,TikTok,102000,0.0146
M189,2021-09,Social Media,TikTok,63000,0.0316
M189,2021-09,Search,TikTok,71000,0.023
M191,2020-08,Social Media,Meta,134000,0.0321
M191,2020-08,Search,YouTube,124000,0.0429
M191,2020-09,Social Media,Meta,59000,0.0134
M191,2020-09,Search,YouTube,137000,0.0343
M191,2020-10,Social Media,TikTok,114000,0.0434
M191,2020-10,Search,Meta,122000,0.0434
M192,2021-01,Social Media,Google,12000,0.0318
M192,2021-01,Search,YouTube,130000,0.0367
M192,2021-02,Social Media,TikTok,113000,0.0246
M192,2021-02,Search,YouTube,91000,0.0486
M192,2021-03,Social Media,Meta,85000,0.0655
M192,2021-03,Search,TikTok,138000,0.0421
M193,2019-11,Social Media,Google,140000,0.0314
M193,2019-11,Search,YouTube,121000,0.0519
M193,2019-12,Social Media,Meta,136000,0.0107
M193,2019-12,Search,Google,116000,0.0332
M193,2020-01,Social Media,YouTube,104000,0.0446
M193,2020-01,Search,Google,44000,0.0231
M194,2023-02,Social Media,TikTok,49000,0.0533
M194,2023-02,Search,Google,125000,0.0583
M194,2023-03,Social Media,Meta,39000,
M194,2023-03,Search,Meta,50000,0.0499
M194,2023-04,Social Media,Google,30000,0.042
M194,2023-04,Search,Google,142000,0.0126
M195,2022-05,Social Media,Google,123000,0.0704
M195,2022-05,Search,Meta,124000,0.0442
M195,2022-06,Social Media,Meta,48000,0.0456
M195,2022-06,Search,Meta,42000,0.0597
M195,2022-07,Social Media,Meta,116000,0.0354
M195,2022-07,Search,TikTok,101000,0.0394
M196,2019-01,Social Media,TikTok,142000,0.0506
M196,2019-01,Search,TikTok,90000,0.0355
M196,2019-02,Social Media,Meta,37000,0.055
M196,2019-02,Search,Google,76000,0.0557
M196,2019-03,Social Media,YouTube,99000,0.0382
M196,2019-03,Search,TikTok,107000,0.03
M197,2020-05,Social Media,TikTok,144000,0.0199
M197,2020-05,Search,TikTok,84000,0.0303
M197,2020-06,Social Media,Meta,55000,0.0593
M197,2020-06,Search,Meta,31000,0.0171
M197,2020-07,Social Media,Meta,20000,0.039
M197,2020-07,Search,Meta,21000,0.0394
M198,2019-10,Social Media,YouTube,19000,0.0191
M198,2019-10,Search,TikTok,45000,0.0423
M198,2019-11,Social Media,TikTok,140000,0.0239
M198,2019-11,Search,TikTok,94000,
M198,2019-12,Social Media,YouTube,137000,0.0338
M198,2019-12,Search,TikTok,62000,0.0188
M199,2021-02,Social Media,Google,71000,0.0292
M199,2021-02,Search,Google,71000,0.018
M199,2021-03,Social Media,YouTube,118000,0.0283
M199,2021-03,Search,Google,63000,0.017
M199,2021-04,Social Media,TikTok,75000,0.0266
M199,2021-04,Search,Meta,70000,0.0128
M200,2020-03,Social Media,Google,29000,0.041
M200,2020-03,Search,Meta,117000,0.0373
M200,2020-04,Social Media,Meta,30000,0.0175
M200,2020-04,Search,Google,53000,0.0445
M200,2020-05,Social Media,YouTube,38000,0.0164
M200,2020-05,Search,Meta,115000,0.0325
M203,2022-04,Social Media,TikTok,86000,0.0272
M203,2022-04,Search,Meta,93000,0.0427
M203,2022-05,Social Media,TikTok,38000,0.0344
M203,2022-05,Search,TikTok,63000,0.0159
M203,2022-06,Social Media,Meta,85000,0.031
M203,2022-06,Search,Meta,81000,0.0583
M204,2020-01,Social Media,Google,35000,0.0504
M204,2020-01,Search,Meta,98000,0.0352
M204,2020-02,Social Media,YouTube,131000,0.0275
M204,2020-02,Search,Meta,49000,0.0294
M204,2020-03,Social Media,YouTube,70000,0.0375
M204,2020-03,Search,Google,135000,0.0225
M206,2020-05,Social Media,YouTube,136000,0.0121
M206,2020-05,Search,Google,39000,0.0382
M206,2020-06,Social Media,TikTok,66000,0.0473
M206,2020-06,Search,YouTube,46000,0.0194
M206,2020-07,Social Media,TikTok,29000,0.0531
M206,2020-07,Search,Meta,11000,0.0443
M207,2021-08,Social Media,Meta,55000,0.0197
M207,2021-08,Search,TikTok,20000,0.0371
M207,2021-09,Social Media,TikTok,22000,0.0437
M207,2021-09,Search,YouTube,28000,0.0525
M207,2021-10,Social Media,TikTok,83000,0.0402
M207,2021-10,Search,YouTube,100000,0.0548
M209,2022-09,Social Media,Google,134000,0.0235
M209,2022-09,Search,Google,24000,0.0468
M209,2022-10,Social Media,Meta,128000,0.055
M209,2022-10,Search,YouTube,41000,0.0312
M209,2022-11,Social Media,TikTok,49000,0.0533
M209,2022-11,Search,YouTube,61000,0.0163
M210,2020-12,Social Media,TikTok,99000,0.0177
M210,2020-12,Search,Google,75000,0.0489
M210,2021-01,Social Media,Google,107000,0.0442
M210,2021-01,Search,Google,115000,0.0407
M210,2021-02,Social Media,YouTube,12000,0.013
M210,2021-02,Search,TikTok,64000,0.048
M211,2020-09,Social Media,TikTok,140000,0.0236
M211,2020-09,Search,Meta,71000,0.0354
M211,2020-10,Social Media,Meta,93000,0.0524
M211,2020-10,Search,Meta,67000,0.034
M211,2020-11,Social Media,Google,63000,0.046
M211,2020-11,Search,TikTok,80000,0.0159
M212,2022-03,Social Media,YouTube,121000,0.0167
M212,2022-03,Search,TikTok,99000,0.0399
M212,2022-04,Social Media,Meta,51000,0.0506
M212,2022-04,Search,YouTube,65000,0.0413
M212,2022-05,Social Media,TikTok,83000,0.0154
M212,2022-05,Search,Google,67000,0.0143
M213,2021-10,Social Media,TikTok,144000,0.0149
M213,2021-10,Search,YouTube,96000,0.033
M213,2021-11,Social Media,Meta,140000,0.0677
M213,2021-11,Search,Google,59000,0.0346
M213,2021-12,Social Media,YouTube,75000,0.0353
M213,2021-12,Search,Google,60000,0.0416
M214,2019-02,Social Media,Meta,37000,0.0375
M214,2019-02,Search,YouTube,113000,0.047
M214,2019-03,Social Media,Meta,130000,0.0531
M214,2019-03,Search,YouTube,68000,0.052
M214,2019-04,Social Media,TikTok,118000,0.0281
M214,2019-04,Search,YouTube,31000,0.0192
M215,2019-08,Social Media,TikTok,146000,0.0178
M215,2019-08,Search,YouTube,129000,0.0257
M215,2019-09,Social Media,TikTok,121000,0.0448
M215,2019-09,Search,YouTube,12000,0.0405
M215,2019-10,Social Media,Meta,31000,0.051
M215,2019-10,Search,TikTok,32000,0.0453
M217,2022-08,Social Media,TikTok,87000,0.0252
M217,2022-08,Search,YouTube,92000,0.0212
M217,2022-09,Social Media,TikTok,77000,0.0467
M217,2022-09,Search,Google,34000,0.0358
M217,2022-10,Social Media,Google,111000,0.0447
M217,2022-10,Search,YouTube,107000,0.0568
M218,2021-06,Social Media,Meta,116000,0.0606
M218,2021-06,Search,YouTube,96000,0.0487
M218,2021-07,Social Media,TikTok,60000,0.06
M218,2021-07,Search,Google,104000,0.0303
M218,2021-08,Social Media,Google,34000,0.0551
M218,2021-08,Search,YouTube,69000,0.0245
M219,2021-10,Social Media,TikTok,57000,0.0384
M219,2021-10,Search,Meta,139000,0.0492
M219,2021-11,Social Media,YouTube,45000,0.0684
M219,2021-11,Search,TikTok,108000,0.0431
M219,2021-12,Social Media,YouTube,34000,0.0192
M219,2021-12,Search,Google,135000,0.0536
M220,2020-07,Social Media,YouTube,126000,0.0478
M220,2020-07,Search,YouTube,138000,0.0236
