product_id,month,orders_count,avg_order_value,revenue,return_rate
P5040,2019-02,110,44.85,4934.01,0.1966
P5042,2019-02,116,47.61,5522.67,0.1892
P5043,2019-02,124,48.97,6071.98,0.1838
P5045,2019-02,119,46.87,5576.97,0.1652
P5046,2019-02,124,49.76,6170.09,0.1625
P5049,2019-02,97,62.32,6044.95,0.0977
P5051,2019-02,95,55.38,5260.91,0.0755
P5052,2019-02,100,55.34,5533.68,0.1092
P5056,2019-02,97,59.82,5802.56,0.0695
P5057,2019-02,90,58.63,5276.48,0.0866
P5061,2019-02,97,56.43,5473.61,0.0605
P5063,2019-02,90,60.94,5484.74,0.0933
P5065,2019-02,99,62.44,6181.84,0.1007
P5066,2019-02,96,58.45,5611.23,0.0957
P5067,2019-02,92,55.09,5067.84,0.1096
P5068,2019-02,99,59.43,5883.98,0.0892
P5073,2019-02,95,64.3,6108.5,0.1032
P5074,2019-02,91,63.7,5796.29,0.0639
P5076,2019-02,100,60.24,6023.73,0.1007
P5077,2019-02,97,56.38,5469.31,0.0733
P5078,2019-02,100,64.24,6423.53,0.0895
P5086,2019-02,91,59.84,5445.21,0.0749
P5089,2019-02,92,58.39,5372.32,0.0947
P5091,2019-02,204,64.28,13113.66,0.0696
P5092,2019-02,96,62.48,5998.22,0.1032
P5096,2019-02,95,55.39,5262.01,0.0755
P5097,2019-02,96,58.99,5663.18,0.0712
P5099,2019-02,99,55.46,5490.81,0.0898
P5106,2019-02,96,55.19,5298.2,0.0851
P5110,2019-02,101,60.31,6091.38,0.068
P5118,2019-02,99,55.31,5475.92,0.0808
P5001,2019-03,84,145.73,12241.59,0.064
P5002,2019-03,81,146.43,11860.82,0.1067
P5003,2019-03,91,148.75,13536.65,0.0635
P5009,2019-03,81,150.44,12186.0,0.1016
P5012,2019-03,80,151.08,12086.34,0.108
P5014,2019-03,91,149.74,13626.12,0.091
P5017,2019-03,80,145.29,11623.29,0.0829
P5020,2019-03,85,154.66,13145.7,0.063
P5024,2019-03,82,153.06,12550.83,0.0688
P5025,2019-03,110,42.85,4712.99,0.192
P5033,2019-03,111,45.26,5024.08,0.1674
P5040,2019-03,113,41.93,4738.43,0.1835
P5042,2019-03,112,46.32,5187.82,0.1923
P5043,2019-03,119,47.03,5596.51,0.1757
P5045,2019-03,113,44.79,5061.08,0.2069
P5046,2019-03,121,44.05,5330.32,0.2019
P5049,2019-03,97,57.81,5607.71,0.0635
P5051,2019-03,103,58.3,6005.14,0.1082
P5052,2019-03,101,57.37,5794.83,0.0632
P5056,2019-03,101,57.75,5833.15,0.1093
P5057,2019-03,98,60.58,5937.19,0.0983
P5061,2019-03,101,60.55,6115.31,0.0844
P5063,2019-03,100,55.78,5578.21,0.0649
P5065,2019-03,91,58.14,5290.44,0.0905
P5066,2019-03,100,56.08,5607.98,0.0668
P5067,2019-03,93,64.52,6000.43,0.0878
P5068,2019-03,96,61.24,5879.15,0.085
P5073,2019-03,100,60.62,6061.56,0.0719
P5074,2019-03,92,56.45,5193.83,0.0918
P5076,2019-03,103,58.5,6025.85,0.0675
P5077,2019-03,93,56.22,5228.56,0.0955
P5078,2019-03,103,63.63,6553.77,0.0766
P5086,2019-03,103,60.15,6195.34,0.0621
P5089,2019-03,94,59.98,5637.73,0.0665
P5091,2019-03,192,64.02,12292.39,0.1015
P5092,2019-03,97,63.33,6142.62,0.0826
P5096,2019-03,101,57.78,5835.67,0.0837
P5097,2019-03,99,59.66,5906.5,0.1078
P5099,2019-03,99,62.03,6140.92,0.0937
P5106,2019-03,99,62.89,6226.21,0.0693
P5110,2019-03,99,62.79,6216.43,0.0867
P5117,2019-03,101,64.15,6479.5,0.0814
P5118,2019-03,91,57.1,5196.21,0.0866
P5001,2019-04,83,152.93,12693.45,0.0618
P5002,2019-04,87,150.98,13135.56,0.0988
P5003,2019-04,83,154.78,12846.64,0.078
P5009,2019-04,90,149.09,13418.01,0.0798
P5012,2019-04,80,152.5,12199.73,0.0821
P5014,2019-04,81,150.8,12214.88,0.0647
P5017,2019-04,83,150.16,12463.2,0.1087
P5020,2019-04,89,151.84,13514.11,0.0814
P5024,2019-04,83,154.86,12853.4,0.062
P5025,2019-04,111,44.95,4989.2,0.1686
P5033,2019-04,116,44.57,5169.87,0.1627
P5040,2019-04,114,48.06,5478.71,0.1943
P5041,2019-04,124,48.28,5986.72,0.2051
P5042,2019-04,116,40.62,4711.55,0.1958
P5043,2019-04,117,43.75,5118.41,0.1893
P5045,2019-04,119,47.59,5662.64,0.1868
P5046,2019-04,116,45.46,5273.71,0.2084
P5049,2019-04,94,60.34,5672.07,0.0882
P5051,2019-04,98,57.8,5664.72,0.0701
P5052,2019-04,94,62.41,5866.13,0.0685
P5056,2019-04,93,62.15,5779.74,0.0629
P5057,2019-04,99,62.36,6173.87,0.0973
P5060,2019-04,93,57.46,5344.12,0.0738
P5061,2019-04,93,64.1,5961.44,0.0854
P5063,2019-04,99,58.18,5759.35,0.0908
P5065,2019-04,95,62.55,5942.4,0.1084
P5066,2019-04,93,59.93,5573.39,0.0888
P5067,2019-04,98,59.79,5858.99,0.1024
P5068,2019-04,95,59.67,5669.07,0.0602
P5073,2019-04,96,55.96,5372.5,0.0601
P5074,2019-04,92,58.81,5410.06,0.0697
P5076,2019-04,90,62.19,5596.84,0.0838
P5077,2019-04,97,64.03,6210.51,0.0818
P5078,2019-04,99,57.17,5660.08,0.0668
P5086,2019-04,92,63.72,5862.53,0.0612
P5089,2019-04,102,55.71,5682.24,0.0777
P5091,2019-04,92,59.32,5457.27,0.062
P5092,2019-04,97,59.2,5742.73,0.0849
P5096,2019-04,101,55.47,5602.9,0.097
P5097,2019-04,90,64.17,5774.96,0.0941
P5099,2019-04,101,64.9,6554.91,0.1089
P5101,2019-04,96,60.38,5796.07,0.0728
P5106,2019-04,98,59.47,5828.39,0.0914
P5110,2019-04,101,59.71,6030.33,0.0732
P5117,2019-04,95,55.96,5316.54,0.075
P5118,2019-04,95,62.46,5933.3,0.0612
P5001,2019-05,84,148.04,12435.68,0.0723
P5002,2019-05,82,147.85,12123.41,0.0656
P5003,2019-05,89,151.12,13449.61,0.0777
P5009,2019-05,90,147.46,13271.7,0.1009
P5012,2019-05,85,151.85,12907.13,0.0757
P5014,2019-05,80,146.78,11742.04,0.0701
P5017,2019-05,91,149.2,13576.8,0.0981
P5020,2019-05,81,154.24,12493.65,0.0808
P5024,2019-05,91,151.32,13770.27,0.0897
P5025,2019-05,125,48.16,6019.84,0.1696
P5033,2019-05,115,48.61,5590.25,0.1832
P5040,2019-05,115,47.93,5512.45,0.1952
P5041,2019-05,122,48.68,5938.9,0.2056
P5042,2019-05,260,47.71,12404.49,0.1634
P5043,2019-05,122,40.94,4994.61,0.1655
P5045,2019-05,111,49.63,5508.95,0.1996
P5046,2019-05,119,46.47,5530.1,0.1851
P5049,2019-05,96,61.1,5865.65,0.1045
P5051,2019-05,95,64.77,6152.69,0.0973
P5052,2019-05,101,61.72,6233.75,0.0874
P5056,2019-05,97,58.18,5643.02,0.0766
P5057,2019-05,100,59.31,5931.46,0.0718
P5060,2019-05,90,57.08,5136.77,0.0897
P5061,2019-05,97,63.43,6153.02,0.0636
P5063,2019-05,101,64.72,6536.5,0.1012
P5065,2019-05,96,58.1,5577.58,0.0671
P5066,2019-05,99,55.91,5534.75,0.0631
P5067,2019-05,93,55.92,5200.44,0.0923
P5068,2019-05,91,57.22,5206.71,0.089
P5073,2019-05,97,58.48,5672.59,0.0913
P5074,2019-05,102,57.04,5818.28,0.0686
P5076,2019-05,101,61.65,6227.12,0.085
P5077,2019-05,94,61.05,5738.37,0.0645
P5078,2019-05,99,60.61,6000.43,0.0626
P5086,2019-05,97,57.02,5530.56,0.0831
P5088,2019-05,91,62.63,5698.92,0.1099
P5089,2019-05,99,62.35,6172.47,0.0681
P5091,2019-05,93,58.67,5456.11,0.0789
P5092,2019-05,95,59.53,5655.81,0.0759
P5096,2019-05,99,55.32,5476.61,0.0654
P5097,2019-05,99,55.38,5482.94,0.062
P5099,2019-05,100,60.99,6099.21,0.0656
P5101,2019-05,101,57.2,5777.51,0.0978
P5106,2019-05,98,61.63,6039.82,0.0634
P5110,2019-05,94,58.61,5509.63,0.0754
P5117,2019-05,95,56.95,5410.44,0.0854
P5118,2019-05,94,63.34,5953.74,0.1033
P5001,2019-06,92,151.07,13898.18,0.0924
P5002,2019-06,227,145.72,33077.97,0.0839
P5003,2019-06,105,154.6,16232.83,0.1034
P5009,2019-06,103,150.56,15508.17,0.0937
P5012,2019-06,94,148.5,13958.54,0.0908
P5014,2019-06,105,149.68,15716.75,0.082
P5017,2019-06,105,154.82,16255.71,0.0684
P5020,2019-06,100,149.53,14952.83,0.0702
P5024,2019-06,101,149.32,15081.25,0.0863
P5025,2019-06,135,43.15,5824.72,0.2002
P5033,2019-06,141,40.64,5730.28,0.1635
P5040,2019-06,144,44.4,6393.15,0.1709
P5041,2019-06,141,41.87,5904.33,0.1753
P5042,2019-06,128,45.22,5788.29,0.1899
P5043,2019-06,136,41.37,5626.15,0.1728
P5045,2019-06,136,47.38,6444.26,0.1671
P5046,2019-06,139,49.8,6922.78,0.2076
P5049,2019-06,107,61.69,6600.91,0.1067
P5051,2019-06,115,63.05,7250.6,0.0742
P5052,2019-06,111,57.58,6391.1,0.063
P5056,2019-06,108,63.7,6879.79,0.0916
P5057,2019-06,111,62.96,6989.0,0.0864
P5060,2019-06,104,58.29,6062.26,0.0677
P5061,2019-06,112,57.3,6417.38,0.1075
P5063,2019-06,114,56.99,6497.02,0.1018
P5065,2019-06,115,57.06,6562.17,0.0933
P5066,2019-06,111,57.16,6344.59,0.0676
P5067,2019-06,104,64.84,6743.06,0.0977
P5068,2019-06,109,64.94,7078.8,0.0627
P5073,2019-06,111,61.51,6827.82,0.1074
P5074,2019-06,106,58.03,6150.81,0.0917
P5076,2019-06,104,56.68,5894.3,0.0731
P5077,2019-06,260,55.53,14437.72,0.0974
P5078,2019-06,107,61.17,6544.94,0.1095
P5086,2019-06,114,58.82,6705.22,0.0713
P5088,2019-06,108,61.42,6633.35,0.0718
P5089,2019-06,118,60.36,7122.06,0.0825
P5091,2019-06,41,56.89,2332.36,0.0788
P5092,2019-06,115,60.64,6974.0,0.0896
P5096,2019-06,103,55.14,5679.75,0.071
P5097,2019-06,105,63.8,6698.5,0.0649
P5099,2019-06,108,59.34,6409.03,0.108
P5101,2019-06,106,56.32,5969.9,0.0679
P5106,2019-06,115,59.18,6805.7,0.0967
P5110,2019-06,110,55.85,6143.31,0.0655
P5117,2019-06,112,62.59,7010.06,0.108
P5118,2019-06,117,63.48,7426.91,0.1097
P5001,2019-07,102,150.19,15319.54,0.1068
P5002,2019-07,99,153.28,15175.12,0.085
P5003,2019-07,98,150.81,14779.71,0.0622
P5009,2019-07,100,152.56,15256.28,0.0605
P5012,2019-07,104,148.64,15458.75,0.0841
P5014,2019-07,93,153.78,14301.67,0.0877
P5017,2019-07,99,154.94,15339.43,0.0635
P5020,2019-07,99,145.92,14445.9,0.1052
P5024,2019-07,95,152.95,14529.96,0.1075
P5025,2019-07,127,42.3,5371.74,0.1845
P5031,2019-07,137,46.85,6418.01,0.192
P5033,2019-07,138,43.47,5998.41,0.186
P5040,2019-07,138,42.85,5912.99,0.1859
P5041,2019-07,136,44.71,6080.73,0.1714
P5042,2019-07,130,42.3,5499.1,0.1869
P5043,2019-07,135,41.9,5656.16,0.1977
P5045,2019-07,140,49.8,6972.07,0.1907
P5046,2019-07,144,44.21,6366.77,0.199
P5049,2019-07,116,56.86,6596.26,0.0656
P5051,2019-07,116,59.28,6877.03,0.085
P5052,2019-07,110,61.07,6717.47,0.0833
P5056,2019-07,106,62.7,6646.37,0.0857
P5057,2019-07,109,61.73,6728.3,0.089
P5060,2019-07,103,63.98,6589.6,0.0713
P5061,2019-07,211,64.58,13626.55,0.0882
P5063,2019-07,117,62.49,7310.75,0.07
P5065,2019-07,106,62.94,6671.88,0.077
P5066,2019-07,112,62.49,6998.86,0.0623
P5067,2019-07,106,55.72,5906.61,0.0676
P5068,2019-07,106,63.49,6730.1,0.0621
P5073,2019-07,114,63.16,7200.05,0.1089
P5074,2019-07,115,60.71,6981.78,0.0783
P5076,2019-07,116,61.03,7079.53,0.1014
P5077,2019-07,105,56.89,5973.93,0.0985
P5078,2019-07,113,56.5,6383.94,0.0871
P5086,2019-07,112,61.62,6901.08,0.0682
P5088,2019-07,107,64.64,6916.97,0.077
P5089,2019-07,114,59.09,6736.71,0.0933
P5091,2019-07,115,58.61,6739.79,0.0897
P5092,2019-07,114,63.51,7240.44,0.074
P5096,2019-07,107,57.46,6147.95,0.0834
P5097,2019-07,110,56.55,6220.24,0.0702
P5099,2019-07,105,58.79,6173.21,0.0739
P5101,2019-07,107,62.95,6735.16,0.0677
P5106,2019-07,59,59.74,3524.56,0.081
P5110,2019-07,108,57.0,6156.2,0.0986
P5117,2019-07,118,63.06,7441.33,0.0754
P5118,2019-07,104,56.63,5889.18,0.0806
P5001,2019-08,86,146.12,12566.05,0.0809
P5002,2019-08,81,149.86,12138.43,0.1097
P5003,2019-08,91,149.6,13613.88,0.1005
P5009,2019-08,85,146.33,12437.66,0.0659
P5012,2019-08,88,150.03,13202.85,0.0842
P5014,2019-08,85,153.81,13073.98,0.0838
P5017,2019-08,87,153.36,13342.26,0.1041
P5020,2019-08,84,151.13,12695.22,0.0621
P5024,2019-08,88,152.24,13397.18,0.0776
P5025,2019-08,115,49.26,5665.42,0.1875
P5031,2019-08,112,43.33,4852.46,0.1996
P5033,2019-08,125,49.57,6196.22,0.1681
P5039,2019-08,125,42.88,5359.88,0.1783
P5040,2019-08,114,48.08,5480.59,0.1843
P5041,2019-08,115,42.17,4849.13,0.1886
P5042,2019-08,124,44.4,5505.89,0.1896
P5043,2019-08,115,41.38,4758.88,0.1903
P5045,2019-08,126,40.03,5044.28,0.1764
P5046,2019-08,114,44.12,5029.23,0.1978
P5049,2019-08,103,64.85,6679.54,0.0994
P5051,2019-08,204,63.92,13038.99,0.0972
P5052,2019-08,102,60.48,6168.94,0.0702
P5056,2019-08,100,57.7,5770.49,0.0891
P5057,2019-08,95,59.38,5640.64,0.1024
P5060,2019-08,100,64.95,6494.5,0.0751
P5061,2019-08,90,58.37,5252.92,0.1094
P5063,2019-08,99,59.21,5861.6,0.0957
P5065,2019-08,100,60.6,6059.89,0.0875
P5066,2019-08,97,59.36,5757.46,0.0828
P5067,2019-08,95,61.29,5822.73,0.0612
P5068,2019-08,93,57.36,5334.41,0.0623
P5073,2019-08,90,63.64,5727.16,0.0758
P5074,2019-08,91,64.17,5839.59,0.1024
P5076,2019-08,94,55.32,5199.82,0.0834
P5077,2019-08,101,56.5,5706.81,0.0752
P5078,2019-08,90,64.45,5800.14,0.0929
P5086,2019-08,90,56.43,5078.31,0.0701
P5088,2019-08,90,56.73,5105.46,0.0851
P5089,2019-08,95,58.37,5544.74,0.0791
P5091,2019-08,52,60.32,3136.84,0.1066
P5092,2019-08,96,62.03,5954.68,0.1082
P5096,2019-08,101,55.04,5559.15,0.0621
P5097,2019-08,101,62.32,6294.59,0.075
P5099,2019-08,100,58.73,5872.74,0.0741
P5101,2019-08,102,60.07,6126.7,0.1037
P5106,2019-08,90,62.55,5629.42,0.093
P5110,2019-08,92,62.5,5750.19,0.1053
P5117,2019-08,98,60.66,5944.96,0.0619
P5118,2019-08,103,56.89,5860.17,0.0654
P5001,2019-09,82,146.38,12003.47,0.0833
P5002,2019-09,87,149.68,13022.31,0.0922
P5003,2019-09,90,153.47,13812.51,0.0953
P5009,2019-09,86,150.3,12926.12,0.0991
P5012,2019-09,86,149.6,12865.55,0.0849
P5014,2019-09,86,148.43,12765.0,0.1067
P5017,2019-09,87,151.41,13172.42,0.087
P5020,2019-09,82,152.15,12476.36,0.0895
P5024,2019-09,89,146.88,13072.45,0.0654
P5025,2019-09,114,48.15,5489.54,0.2037
P5031,2019-09,126,46.71,5885.67,0.1926
P5033,2019-09,114,43.24,4929.52,0.161
P5039,2019-09,111,44.24,4910.41,0.1663
P5040,2019-09,111,42.57,4725.13,0.1944
P5041,2019-09,112,43.06,4822.85,0.1941
P5042,2019-09,244,48.37,11802.15,0.176
P5043,2019-09,119,47.83,5691.67,0.1808
P5045,2019-09,113,42.83,4840.04,0.176
P5046,2019-09,121,49.47,5985.33,0.2035
P5049,2019-09,97,64.69,6274.84,0.0735
P5051,2019-09,93,55.52,5163.54,0.0953
P5052,2019-09,101,64.72,6536.59,0.0706
P5056,2019-09,102,59.51,6069.79,0.0619
P5057,2019-09,98,58.64,5746.25,0.0739
P5060,2019-09,93,55.85,5194.43,0.1044
P5061,2019-09,95,57.33,5446.69,0.075
P5063,2019-09,103,58.28,6002.61,0.0894
P5065,2019-09,92,60.17,5535.66,0.1084
P5066,2019-09,99,64.56,6391.71,0.1055
P5067,2019-09,100,57.86,5786.2,0.1041
P5068,2019-09,90,64.08,5766.85,0.0669
P5073,2019-09,101,60.14,6074.26,0.0747
P5074,2019-09,100,63.74,6374.1,0.1071
P5076,2019-09,98,61.24,6001.36,0.0922
P5077,2019-09,91,63.93,5818.02,0.0616
P5078,2019-09,97,62.52,6064.6,0.0626
P5086,2019-09,208,57.85,12032.2,0.0949
P5088,2019-09,101,64.72,6536.43,0.0618
P5089,2019-09,98,63.51,6224.24,0.0943
P5091,2019-09,100,63.71,6370.65,0.0623
P5092,2019-09,94,63.75,5992.09,0.0954
P5096,2019-09,98,60.82,5960.36,0.0928
P5097,2019-09,50,61.14,3057.06,0.0972
P5099,2019-09,100,56.41,5641.21,0.0647
P5101,2019-09,101,55.66,5622.15,0.0681
P5105,2019-09,98,61.94,6070.2,0.1058
P5106,2019-09,94,59.41,5584.07,0.087
P5110,2019-09,94,63.45,5963.84,0.0736
P5117,2019-09,91,61.98,5639.97,0.0661
P5118,2019-09,91,62.87,5720.99,0.095
P5001,2019-10,83,145.38,12066.93,0.0908
P5002,2019-10,82,148.03,12138.52,0.0642
P5003,2019-10,82,146.07,11977.73,0.0715
P5009,2019-10,84,152.22,12786.32,0.0754
P5010,2019-10,80,146.23,11698.74,0.0693
P5012,2019-10,87,150.98,13135.27,0.0651
P5014,2019-10,85,153.29,13029.67,0.0605
P5017,2019-10,88,148.23,13044.42,0.0811
P5020,2019-10,91,148.74,13535.41,0.0679
P5024,2019-10,87,146.36,12733.56,0.0899
P5025,2019-10,111,48.96,5434.36,0.1866
P5031,2019-10,112,49.51,5545.3,0.2021
P5033,2019-10,110,47.74,5251.74,0.1624
P5039,2019-10,124,42.87,5315.82,0.1606
P5040,2019-10,124,43.76,5426.03,0.1696
P5041,2019-10,116,41.95,4865.75,0.2072
P5042,2019-10,125,43.46,5432.66,0.1853
P5043,2019-10,123,44.81,5511.92,0.1713
P5045,2019-10,125,48.57,6071.76,0.1741
P5046,2019-10,113,44.92,5076.15,0.1859
P5049,2019-10,95,55.59,5281.15,0.1019
P5051,2019-10,94,56.31,5293.51,0.0794
P5052,2019-10,97,56.9,5519.47,0.0706
P5056,2019-10,91,62.99,5732.1,0.1093
P5057,2019-10,95,64.43,6121.12,0.0954
P5060,2019-10,100,59.95,5995.15,0.1086
P5061,2019-10,102,62.64,6389.45,0.0687
P5063,2019-10,99,56.91,5634.02,0.1094
P5065,2019-10,100,61.11,6111.12,0.0997
P5066,2019-10,91,62.15,5655.99,0.1031
P5067,2019-10,92,57.99,5335.44,0.0789
P5068,2019-10,93,59.3,5514.7,0.0652
P5073,2019-10,98,64.33,6303.87,0.0713
P5074,2019-10,98,61.6,6036.32,0.1045
P5076,2019-10,91,62.71,5706.9,0.0758
P5077,2019-10,97,56.93,5522.67,0.0631
P5078,2019-10,93,55.99,5206.92,0.1076
P5086,2019-10,93,60.32,5610.18,0.1053
P5088,2019-10,96,56.88,5460.08,0.0786
P5089,2019-10,96,57.04,5476.14,0.0728
P5091,2019-10,103,62.71,6459.48,0.0684
P5092,2019-10,90,63.51,5715.64,0.0638
P5096,2019-10,93,64.71,6018.19,0.1015
P5097,2019-10,95,63.38,6020.91,0.0849
P5099,2019-10,90,62.8,5651.95,0.0805
P5101,2019-10,92,60.4,5556.67,0.0929
P5105,2019-10,93,55.87,5195.48,0.0891
P5106,2019-10,100,63.29,6329.41,0.0893
P5108,2019-10,91,64.94,5909.95,0.0653
P5110,2019-10,91,64.13,5835.82,0.0998
P5117,2019-10,101,58.89,5948.12,0.1082
P5118,2019-10,90,61.74,5556.86,0.1039
P5001,2019-11,140,146.14,20460.17,0.0664
P5002,2019-11,143,147.55,21099.11,0.0919
P5003,2019-11,148,148.8,22022.08,0.0667
P5007,2019-11,146,149.27,21793.78,0.0658
P5009,2019-11,143,152.59,21820.4,0.0619
P5010,2019-11,132,154.72,20422.4,0.0923
P5012,2019-11,135,145.06,19583.67,0.1
P5014,2019-11,139,150.53,20924.3,0.1072
P5017,2019-11,139,154.31,21448.66,0.0644
P5020,2019-11,140,150.91,21126.78,0.064
P5024,2019-11,146,150.54,21978.43,0.0912
P5025,2019-11,207,40.27,8336.2,0.1972
P5031,2019-11,181,42.18,7634.16,0.2085
P5033,2019-11,203,43.38,8806.62,0.1836
P5039,2019-11,191,42.57,8131.46,0.1616
P5040,2019-11,206,41.54,8556.61,0.1825
P5041,2019-11,448,42.87,19207.25,0.2083
P5042,2019-11,203,41.12,8346.91,0.1809
P5043,2019-11,185,48.36,8947.02,0.2044
P5045,2019-11,195,48.89,9534.27,0.1752
P5046,2019-11,207,43.58,9020.21,0.2025
P5049,2019-11,169,57.9,9785.37,0.0791
P5051,2019-11,167,58.55,9777.4,0.0821
P5052,2019-11,162,60.1,9736.51,0.0989
P5056,2019-11,148,61.23,9062.76,0.073
P5057,2019-11,166,63.15,10482.08,0.0604
P5060,2019-11,167,57.56,9612.75,0.0682
P5061,2019-11,170,64.87,11027.75,0.1062
P5063,2019-11,61,64.72,3948.15,0.0832
P5065,2019-11,167,62.93,10508.92,0.1028
P5066,2019-11,148,59.65,8828.01,0.0745
P5067,2019-11,162,58.73,9513.54,0.0846
P5068,2019-11,163,56.63,9230.81,0.1005
P5073,2019-11,155,59.16,9170.07,0.0747
P5074,2019-11,168,58.11,9762.53,0.0896
P5076,2019-11,170,61.49,10452.92,0.0614
P5077,2019-11,150,56.57,8485.27,0.0712
P5078,2019-11,162,61.84,10018.86,0.0859
P5086,2019-11,161,59.35,9554.71,0.0779
P5088,2019-11,151,64.78,9782.03,0.0616
P5089,2019-11,154,61.89,9530.31,0.0703
P5091,2019-11,154,55.08,8481.68,0.0912
P5092,2019-11,153,59.7,9134.08,0.0849
P5096,2019-11,161,63.49,10221.19,0.0793
P5097,2019-11,170,64.69,10998.14,0.0871
P5099,2019-11,154,61.5,9470.59,0.081
P5101,2019-11,168,61.02,10252.11,0.0959
P5105,2019-11,159,64.25,10216.25,0.0847
P5106,2019-11,170,63.51,10796.07,0.0992
P5108,2019-11,154,56.74,8738.31,0.0934
P5110,2019-11,169,62.66,10590.04,0.0678
P5111,2019-11,149,56.54,8424.51,0.0713
P5117,2019-11,164,56.55,9273.59,0.0883
P5118,2019-11,149,59.99,8938.21,0.08
P5001,2019-12,147,153.61,22580.23,0.0915
P5002,2019-12,146,151.3,22090.14,0.1045
P5003,2019-12,144,150.73,21705.62,0.0771
P5007,2019-12,140,154.19,21586.75,0.079
P5009,2019-12,143,152.5,21808.05,0.107
P5010,2019-12,132,153.82,20303.6,0.072
P5012,2019-12,134,145.7,19524.31,0.0667
P5014,2019-12,138,150.78,20808.3,0.1039
P5017,2019-12,150,145.48,21821.69,0.1012
P5020,2019-12,133,145.61,19365.51,0.0743
P5024,2019-12,149,149.39,22259.5,0.097
P5025,2019-12,189,44.66,8440.29,0.2007
P5031,2019-12,185,40.44,7481.28,0.1775
P5033,2019-12,187,48.66,9099.97,0.1789
P5039,2019-12,202,41.06,8294.02,0.197
P5040,2019-12,200,47.4,9479.26,0.1831
P5041,2019-12,202,45.76,9243.73,0.2032
P5042,2019-12,193,47.4,9148.52,0.1664
P5043,2019-12,186,48.33,8989.77,0.1651
P5044,2019-12,194,41.75,8100.36,0.1978
P5045,2019-12,75,46.34,3475.38,0.1755
P5046,2019-12,184,48.06,8843.22,0.1937
P5049,2019-12,150,64.55,9681.76,0.0646
P5051,2019-12,150,56.02,8403.59,0.0939
P5052,2019-12,167,59.44,9926.76,0.1023
P5056,2019-12,156,57.56,8979.92,0.0955
P5057,2019-12,151,58.7,8864.16,0.0929
P5060,2019-12,153,58.08,8886.97,0.0907
P5061,2019-12,160,61.51,9840.99,0.0904
P5063,2019-12,154,59.76,9202.85,0.0822
P5065,2019-12,164,60.48,9919.42,0.0833
P5066,2019-12,151,59.02,8911.59,0.0683
P5067,2019-12,165,63.61,10495.29,0.0636
P5068,2019-12,158,59.77,9443.11,0.0628
P5073,2019-12,163,60.34,9836.03,0.0729
P5074,2019-12,169,59.53,10060.15,0.0835
P5076,2019-12,158,59.03,9326.51,0.0726
P5077,2019-12,159,60.57,9630.16,0.0735
P5078,2019-12,161,60.34,9714.51,0.0983
P5086,2019-12,149,59.85,8917.45,0.094
P5088,2019-12,153,62.96,9632.82,0.1015
