model_id,month,units_sold,avg_price,dealership_count,revenue
C1010,2019-03,227,25405,19,5766935
C1011,2019-03,27,75521,13,2039067
C1014,2019-03,217,36022,10,7816774
C1016,2019-03,54,76063,9,4107402
C1021,2019-03,209,35991,20,7522119
C1023,2019-03,156,25423,10,3965988
C1024,2019-03,50,51480,12,2574000
C1025,2019-03,78,50357,11,3927846
C1031,2019-03,32,76604,21,2451328
C1032,2019-03,25,75904,17,1897600
C1038,2019-03,62,50727,18,3145074
C1043,2019-03,160,18278,14,2924480
C1046,2019-03,80,50395,15,4031600
C1047,2019-03,106,35299,18,3741694
C1048,2019-03,109,35526,13,3872334
C1057,2019-03,51,75966,18,3874266
C1062,2019-03,66,51046,10,3369036
C1063,2019-03,49,50805,10,2489445
C1066,2019-03,129,25560,20,3297240
C1069,2019-03,156,18302,24,2855112
C1070,2019-03,107,35835,17,3834345
C1075,2019-03,128,25435,10,3255680
C1077,2019-03,25,77145,23,1928625
C1082,2019-03,161,18079,17,2910719
C1085,2019-03,314,18045,12,5666130
C1086,2019-03,253,18108,14,4581324
C1089,2019-03,185,25117,23,4646645
C1090,2019-03,125,25558,11,3194750
C1093,2019-03,29,76769,14,2226301
C1094,2019-03,55,51145,23,2812975
C1095,2019-03,27,75986,17,2051622
C1100,2019-03,247,18534,20,4577898
C1001,2019-04,110,25557,8,2811270
C1007,2019-04,112,25689,11,2877168
C1008,2019-04,51,51285,15,2615535
C1010,2019-04,203,25627,17,5202281
C1011,2019-04,23,76433,22,1757959
C1014,2019-04,189,35589,21,6726321
C1016,2019-04,49,75420,14,3695580
C1021,2019-04,186,35202,12,6547572
C1022,2019-04,37,50788,21,1879156
C1023,2019-04,144,25491,8,3670704
C1024,2019-04,44,51203,10,2252932
C1025,2019-04,73,50522,18,3688106
C1030,2019-04,22,76297,15,1678534
C1031,2019-04,31,75820,23,2350420
C1032,2019-04,22,76402,17,1680844
C1038,2019-04,59,50851,16,3000209
C1043,2019-04,138,18037,12,2489106
C1046,2019-04,69,50999,8,3518931
C1047,2019-04,95,35879,21,3408505
C1048,2019-04,89,35137,12,3127193
C1057,2019-04,48,75076,21,3603648
C1062,2019-04,63,50121,9,3157623
C1063,2019-04,48,50262,18,2412576
C1066,2019-04,128,25609,13,3277952
C1069,2019-04,136,18403,18,2502808
C1070,2019-04,96,35099,10,3369504
C1075,2019-04,107,25287,14,2705709
C1077,2019-04,23,75487,21,1736201
C1082,2019-04,144,18251,8,2628144
C1085,2019-04,285,18265,15,5205525
C1086,2019-04,222,18420,14,4089240
C1089,2019-04,178,25664,18,4568192
C1090,2019-04,117,25040,22,2929680
C1093,2019-04,27,76569,22,2067363
C1094,2019-04,50,50255,18,2512750
C1095,2019-04,22,76895,17,1691690
C1100,2019-04,225,18213,13,4097925
C1101,2019-04,116,25319,14,2937004
C1001,2019-05,110,25176,12,2769360
C1007,2019-05,117,25002,16,2925234
C1008,2019-05,53,50545,8,2678885
C1010,2019-05,207,25245,17,5225715
C1011,2019-05,26,75372,14,1959672
C1014,2019-05,197,35946,8,7081362
C1016,2019-05,48,75818,9,3639264
C1021,2019-05,189,35939,15,6792471
C1022,2019-05,40,50613,8,2024520
C1023,2019-05,147,25717,24,3780399
C1024,2019-05,47,50782,17,2386754
C1025,2019-05,74,50659,24,3748766
C1026,2019-05,23,76559,17,1760857
C1030,2019-05,23,75394,23,1734062
C1031,2019-05,30,76808,12,2304240
C1032,2019-05,23,75702,16,1741146
C1038,2019-05,56,50135,20,2807560
C1043,2019-05,135,18191,14,2455785
C1046,2019-05,73,50821,10,3709933
C1047,2019-05,95,35022,15,3327090
C1048,2019-05,95,35523,15,3374685
C1057,2019-05,45,75552,20,3399840
C1062,2019-05,66,50343,10,3322638
C1063,2019-05,51,50327,22,2566677
C1066,2019-05,127,25350,21,3219450
C1069,2019-05,137,18387,21,2519019
C1070,2019-05,92,35534,22,3269128
C1075,2019-05,117,25267,20,2956239
C1077,2019-05,24,76320,10,1831680
C1082,2019-05,139,18299,23,2543561
C1085,2019-05,274,18265,24,5004610
C1086,2019-05,240,18496,17,4439040
C1089,2019-05,178,25640,14,4563920
C1090,2019-05,125,25015,18,3126875
C1093,2019-05,26,76612,19,1991912
C1094,2019-05,52,50448,25,2623296
C1095,2019-05,22,76789,20,1689358
C1100,2019-05,245,18328,10,4490360
C1101,2019-05,112,25328,12,2836736
C1001,2019-06,127,25617,13,3253359
C1007,2019-06,130,25481,19,3312530
C1008,2019-06,60,50279,20,3016740
C1010,2019-06,231,25583,20,5909673
C1011,2019-06,29,75023,16,2175667
C1014,2019-06,217,35920,12,7794640
C1016,2019-06,57,76992,22,4388544
C1021,2019-06,205,35699,13,7318295
C1022,2019-06,45,51045,15,2297025
C1023,2019-06,170,25623,11,4355910
C1024,2019-06,57,51472,17,2933904
C1025,2019-06,87,50092,21,4358004
C1026,2019-06,26,75459,10,1961934
C1030,2019-06,26,75176,9,1954576
C1031,2019-06,36,75471,10,2716956
C1032,2019-06,26,75869,22,1972594
C1038,2019-06,69,50742,14,3501198
C1043,2019-06,155,18162,17,2815110
C1046,2019-06,82,50333,11,4127306
C1047,2019-06,101,35465,23,3581965
C1048,2019-06,101,35247,8,3559947
C1051,2019-06,163,18003,21,2934489
C1057,2019-06,52,76252,20,3965104
C1062,2019-06,75,50613,11,3795975
C1063,2019-06,55,51402,15,2827110
C1066,2019-06,154,25584,12,3939936
C1069,2019-06,161,18237,25,2936157
C1070,2019-06,108,35364,24,3819312
C1075,2019-06,123,25040,12,3079920
C1077,2019-06,25,77203,8,1930075
C1081,2019-06,121,25568,23,3093728
C1082,2019-06,151,18318,17,2766018
C1085,2019-06,313,18066,9,5654658
C1086,2019-06,262,18035,8,4725170
C1089,2019-06,208,25311,16,5264688
C1090,2019-06,143,25014,24,3577002
C1093,2019-06,31,77243,16,2394533
C1094,2019-06,58,50506,16,2929348
C1095,2019-06,26,77199,24,2007174
C1100,2019-06,268,18519,14,4963092
C1101,2019-06,121,25636,15,3101956
C1001,2019-07,136,25730,22,3499280
C1007,2019-07,144,25296,8,3642624
C1008,2019-07,64,50166,23,3210624
C1010,2019-07,282,25659,23,7235838
C1011,2019-07,34,75185,13,2556290
C1016,2019-07,66,75687,12,4995342
C1021,2019-07,234,35975,9,8418150
C1022,2019-07,50,50960,25,2548000
C1023,2019-07,196,25269,9,4952724
C1024,2019-07,64,51091,15,3269824
C1025,2019-07,98,50419,14,4941062
C1026,2019-07,28,75844,17,2123632
C1030,2019-07,29,76079,18,2206291
C1031,2019-07,41,76447,17,3134327
C1032,2019-07,28,75721,13,2120188
C1038,2019-07,76,51280,17,3897280
C1043,2019-07,180,18112,24,3260160
C1046,2019-07,95,50596,21,4806620
C1047,2019-07,114,35314,24,4025796
C1048,2019-07,119,35102,16,4177138
C1051,2019-07,177,18093,22,3202461
C1057,2019-07,60,75583,11,4534980
C1062,2019-07,80,51325,21,4106000
C1063,2019-07,64,50530,13,3233920
C1066,2019-07,179,25602,16,4582758
C1069,2019-07,181,18247,15,3302707
C1070,2019-07,114,35260,19,4019640
C1075,2019-07,137,25162,17,3447194
C1077,2019-07,29,76903,11,2230187
C1080,2019-07,114,35162,14,4008468
C1081,2019-07,149,25365,9,3779385
C1082,2019-07,171,18220,19,3115620
C1086,2019-07,303,18304,25,5546112
C1089,2019-07,232,25193,17,5844776
C1090,2019-07,165,25436,14,4196940
C1093,2019-07,37,76907,11,2845559
C1094,2019-07,70,50710,14,3549700
C1095,2019-07,29,76480,9,2217920
C1101,2019-07,139,25570,10,3554230
C1001,2019-08,141,25386,22,3579426
C1007,2019-08,141,25197,22,3552777
C1008,2019-08,68,50675,12,3445900
C1010,2019-08,265,25072,16,6644080
C1011,2019-08,33,75321,23,2485593
C1016,2019-08,67,76715,9,5139905
C1021,2019-08,250,35583,22,8895750
C1022,2019-08,52,50407,10,2621164
C1023,2019-08,207,25224,25,5221368
C1024,2019-08,65,50183,23,3261895
C1025,2019-08,98,50212,22,4920776
C1026,2019-08,28,75184,13,2105152
C1030,2019-08,29,75740,24,2196460
C1031,2019-08,41,76035,25,3117435
C1032,2019-08,27,75777,16,2045979
C1038,2019-08,75,50174,8,3763050
C1043,2019-08,170,18501,16,3145170
C1046,2019-08,95,51293,12,4872835
C1047,2019-08,116,35700,22,4141200
C1048,2019-08,120,35915,11,4309800
C1051,2019-08,176,18038,25,3174688
C1057,2019-08,61,77088,12,4702368
C1062,2019-08,87,50898,14,4428126
C1063,2019-08,65,50581,12,3287765
C1066,2019-08,182,25269,24,4598958
C1069,2019-08,170,18491,20,3143470
C1070,2019-08,120,35564,21,4267680
C1075,2019-08,136,25388,17,3452768
C1077,2019-08,27,75334,17,2034018
C1080,2019-08,116,35632,14,4133312
C1081,2019-08,153,25347,15,3878091
C1082,2019-08,171,18384,14,3143664
C1086,2019-08,302,18532,25,5596664
C1089,2019-08,233,25671,21,5981343
C1090,2019-08,166,25549,17,4241134
C1093,2019-08,38,75118,21,2854484
C1094,2019-08,68,50914,24,3462152
C1095,2019-08,28,76153,19,2132284
C1101,2019-08,137,25325,21,3469525
C1001,2019-09,126,25570,22,3221820
C1007,2019-09,131,25452,15,3334212
C1008,2019-09,65,50504,14,3282760
C1010,2019-09,259,25699,14,6656041
C1011,2019-09,31,76218,20,2362758
C1016,2019-09,62,76977,17,4772574
C1021,2019-09,237,35777,20,8479149
C1022,2019-09,50,51011,22,2550550
C1023,2019-09,183,25403,25,4648749
C1024,2019-09,57,50174,12,2859918
C1025,2019-09,88,50489,18,4443032
C1026,2019-09,26,75867,14,1972542
C1030,2019-09,25,76241,11,1906025
C1031,2019-09,37,76824,13,2842488
C1032,2019-09,25,75639,13,1890975
C1038,2019-09,69,51457,25,3550533
C1041,2019-09,162,18290,14,2962980
C1043,2019-09,157,18408,13,2890056
C1046,2019-09,86,51052,14,4390472
C1047,2019-09,107,35743,19,3824501
C1048,2019-09,105,35630,12,3741150
C1051,2019-09,159,18036,14,2867724
C1057,2019-09,56,76067,16,4259752
C1062,2019-09,80,50074,23,4005920
C1063,2019-09,63,51452,15,3241476
C1066,2019-09,167,25737,21,4298079
C1069,2019-09,161,18294,12,2945334
C1070,2019-09,107,35091,25,3754737
C1075,2019-09,120,25513,15,3061560
C1077,2019-09,26,77065,22,2003690
C1080,2019-09,107,35208,20,3767256
C1081,2019-09,135,25374,21,3425490
C1082,2019-09,151,18196,21,2747596
C1086,2019-09,272,18058,11,4911776
C1089,2019-09,470,25457,17,11964790
C1090,2019-09,163,25594,13,4171822
C1093,2019-09,34,76103,24,2587502
C1094,2019-09,66,51014,14,3366924
C1095,2019-09,26,75144,9,1953744
C1101,2019-09,131,25595,10,3352945
C1001,2019-10,117,25172,12,2945124
C1007,2019-10,114,25504,23,2907456
C1008,2019-10,57,51201,10,2918457
C1010,2019-10,237,25004,25,5925948
C1011,2019-10,29,75340,15,2184860
C1016,2019-10,54,75675,23,4086450
C1021,2019-10,207,35524,12,7353468
C1022,2019-10,45,50284,9,2262780
C1023,2019-10,177,25447,10,4504119
C1024,2019-10,53,50666,13,2685298
C1025,2019-10,87,50136,12,4361832
C1026,2019-10,24,75783,18,1818792
C1030,2019-10,23,75239,20,1730497
C1031,2019-10,36,75633,10,2722788
C1032,2019-10,24,76764,21,1842336
C1034,2019-10,24,76374,10,1832976
C1038,2019-10,67,50656,13,3393952
C1041,2019-10,147,18010,13,2647470
C1043,2019-10,144,18428,25,2653632
C1046,2019-10,82,51448,17,4218736
C1047,2019-10,90,35553,12,3199770
C1048,2019-10,92,35187,9,3237204
C1051,2019-10,139,18258,25,2537862
C1057,2019-10,50,75719,12,3785950
C1062,2019-10,74,51477,17,3809298
C1063,2019-10,57,50547,21,2881179
C1066,2019-10,154,25225,18,3884650
C1069,2019-10,143,18403,8,2631629
C1070,2019-10,97,35052,17,3400044
C1075,2019-10,112,25667,22,2874704
C1077,2019-10,23,75745,12,1742135
C1080,2019-10,93,35915,24,3340095
C1081,2019-10,135,25509,18,3443715
C1082,2019-10,141,18094,10,2551254
C1086,2019-10,248,18015,15,4467720
C1089,2019-10,204,25247,8,5150388
C1090,2019-10,148,25556,19,3782288
C1093,2019-10,32,76931,24,2461792
C1094,2019-10,58,50053,11,2903074
C1095,2019-10,23,75768,16,1742664
C1101,2019-10,109,25438,11,2772742
C1001,2019-11,115,25377,12,2918355
C1007,2019-11,116,25498,22,2957768
C1008,2019-11,61,51085,14,3116185
C1010,2019-11,250,25162,9,6290500
C1011,2019-11,31,76231,10,2363161
C1016,2019-11,55,75787,18,4168285
C1021,2019-11,200,35159,25,7031800
C1022,2019-11,48,50895,10,2442960
C1023,2019-11,188,25580,22,4809040
C1024,2019-11,59,51221,14,3022039
C1025,2019-11,87,50529,20,4396023
C1026,2019-11,24,76479,13,1835496
C1030,2019-11,10,75841,25,758410
C1031,2019-11,37,76516,12,2831092
C1032,2019-11,23,75477,13,1735971
C1034,2019-11,24,75891,10,1821384
C1036,2019-11,23,76336,16,1755728
C1038,2019-11,67,51095,9,3423365
C1039,2019-11,144,18121,8,2609424
C1041,2019-11,145,18432,21,2672640
C1043,2019-11,142,18016,15,2558272
C1046,2019-11,84,50362,21,4230408
C1047,2019-11,91,35377,15,3219307
C1048,2019-11,97,35906,18,3482882
C1051,2019-11,137,18176,25,2490112
C1057,2019-11,52,75356,8,3918512
C1062,2019-11,76,50202,14,3815352
C1063,2019-11,58,50125,15,2907250
C1066,2019-11,155,25420,16,3940100
C1069,2019-11,134,18319,19,2454746
C1070,2019-11,98,35738,16,3502324
C1075,2019-11,116,25259,25,2930044
C1077,2019-11,24,76876,21,1845024
C1080,2019-11,92,35316,12,3249072
C1081,2019-11,140,25290,15,3540600
C1082,2019-11,147,18472,23,2715384
C1086,2019-11,264,18346,21,4843344
C1089,2019-11,205,25149,12,5155545
C1090,2019-11,146,25731,19,3756726
C1093,2019-11,34,76829,14,2612186
C1094,2019-11,63,50375,16,3173625
C1095,2019-11,23,76276,24,1754348
C1101,2019-11,116,25387,17,2944892
C1102,2019-11,138,18265,14,2520570
C1001,2019-12,121,25693,12,3108853
C1007,2019-12,127,25015,25,3176905
C1008,2019-12,31,50105,17,1553255
C1010,2019-12,259,25351,21,6565909
C1011,2019-12,34,75567,17,2569278
C1016,2019-12,64,75133,14,4808512
C1021,2019-12,234,35948,18,8411832
C1022,2019-12,57,51343,25,2926551
C1023,2019-12,199,25693,10,5112907
C1024,2019-12,63,51327,24,3233601
C1025,2019-12,97,51186,12,4965042
C1026,2019-12,27,75856,19,2048112
C1030,2019-12,25,75687,24,1892175
C1031,2019-12,43,76607,25,3294101
C1032,2019-12,26,77153,13,2005978
C1034,2019-12,25,75348,12,1883700
C1036,2019-12,27,76972,12,2078244
C1038,2019-12,77,50569,18,3893813
C1039,2019-12,164,18302,9,3001528
C1041,2019-12,170,18015,11,3062550
C1043,2019-12,157,18389,8,2887073
C1046,2019-12,96,50379,24,4836384
C1047,2019-12,105,35236,16,3699780
C1048,2019-12,109,35601,16,3880509
C1051,2019-12,157,18468,10,2899476
C1057,2019-12,61,76709,21,4679249
C1062,2019-12,81,50613,15,4099653
C1063,2019-12,65,51085,23,3320525
C1066,2019-12,173,25260,20,4369980
C1069,2019-12,152,18064,16,2745728
C1070,2019-12,101,35371,22,3572471
C1075,2019-12,127,25042,22,3180334
C1077,2019-12,27,75324,14,2033748
C1080,2019-12,106,35378,25,3750068
C1081,2019-12,158,25079,8,3962482
C1082,2019-12,157,18097,22,2841229
C1086,2019-12,296,18222,12,5393712
C1089,2019-12,242,25142,15,6084364
C1090,2019-12,175,25216,14,4412800
C1093,2019-12,38,75406,17,2865428
C1094,2019-12,69,51295,18,3539355
C1095,2019-12,26,75578,25,1965028
C1097,2019-12,27,75335,10,2034045
C1101,2019-12,120,25515,23,3061800
C1102,2019-12,154,18157,14,2796178
C1001,2020-01,96,25244,12,2423424
C1007,2020-01,93,25185,9,2342205
C1008,2020-01,90,51207,8,4608630
C1010,2020-01,216,25152,20,5432832
C1011,2020-01,27,75441,15,2036907
C1016,2020-01,50,75876,11,3793800
C1021,2020-01,192,35437,21,6803904
C1022,2020-01,75,50904,13,3817800
C1023,2020-01,170,25156,10,4276520
C1024,2020-01,89,50279,12,4474831
C1025,2020-01,126,51154,22,6445404
C1026,2020-01,21,76825,17,1613325
C1030,2020-01,19,75401,16,1432619
C1031,2020-01,32,75995,20,2431840
C1032,2020-01,20,76345,21,1526900
C1034,2020-01,19,76782,16,1458858
C1035,2020-01,19,77037,20,1463703
C1036,2020-01,21,76193,13,1600053
C1038,2020-01,101,51091,10,5160191
C1039,2020-01,131,18338,21,2402278
C1041,2020-01,137,18512,25,2536144
C1043,2020-01,126,18207,20,2294082
C1046,2020-01,128,50656,18,6483968
C1047,2020-01,82,35050,22,2874100
C1048,2020-01,78,35944,24,2803632
C1051,2020-01,119,18019,17,2144261
C1057,2020-01,46,76497,13,3518862
C1062,2020-01,114,51491,11,5869974
C1063,2020-01,90,51096,9,4598640
C1066,2020-01,144,25427,25,3661488
C1069,2020-01,127,18349,21,2330323
C1070,2020-01,82,35869,15,2941258
C1075,2020-01,98,25647,12,2513406
C1077,2020-01,20,75041,22,1500820
C1080,2020-01,28,35586,11,996408
C1081,2020-01,127,25375,9,3222625
C1082,2020-01,117,18494,25,2163798
C1086,2020-01,552,18346,8,10126992
C1089,2020-01,191,25435,24,4858085
C1090,2020-01,143,25687,13,3673241
C1093,2020-01,30,75587,13,2267610
C1094,2020-01,215,50841,12,10930815
C1095,2020-01,19,76528,17,1454032
C1097,2020-01,20,77187,21,1543740
C1101,2020-01,95,25620,25,2433900
C1102,2020-01,120,18098,20,2171760
C1001,2020-02,96,25039,14,2403744
C1007,2020-02,97,25147,13,2439259
C1008,2020-02,92,50397,11,4636524
C1010,2020-02,211,25341,16,5346951
C1011,2020-02,29,76983,13,2232507
C1016,2020-02,50,77148,9,3857400
C1021,2020-02,194,35027,18,6795238
C1022,2020-02,76,50200,16,3815200
C1023,2020-02,173,25106,21,4343338
C1024,2020-02,90,50706,24,4563540
C1025,2020-02,134,50614,9,6782276
C1026,2020-02,20,75257,9,1505140
C1030,2020-02,19,76007,23,1444133
C1031,2020-02,33,75117,13,2478861
C1032,2020-02,19,75562,21,1435678
C1034,2020-02,19,76151,12,1446869
C1035,2020-02,19,75317,17,1431023
C1036,2020-02,21,76472,20,1605912
C1038,2020-02,103,51323,8,5286269
C1039,2020-02,132,18443,16,2434476
C1041,2020-02,140,18217,16,2550380
C1043,2020-02,119,18169,22,2162111
C1046,2020-02,132,50840,21,6710880
C1047,2020-02,79,35339,13,2791781
C1048,2020-02,80,35646,23,2851680
C1049,2020-02,120,18522,14,2222640
C1051,2020-02,124,18373,8,2278252
C1057,2020-02,47,76147,19,3578909
C1062,2020-02,120,50058,8,6006960
C1063,2020-02,92,50170,12,4615640
C1066,2020-02,144,25193,9,3627792
C1069,2020-02,121,18120,21,2192520
C1070,2020-02,79,35645,20,2815955
C1075,2020-02,99,25350,18,2509650
C1077,2020-02,20,76347,12,1526940
C1080,2020-02,82,35889,9,2942898
C1081,2020-02,126,25374,10,3197124
C1082,2020-02,124,18449,18,2287676
C1086,2020-02,236,18534,22,4374024
C1089,2020-02,189,25676,23,4852764
C1090,2020-02,49,25678,16,1258222
C1093,2020-02,32,77042,21,2465344
C1094,2020-02,100,50468,17,5046800
C1095,2020-02,7,75299,14,527093
C1097,2020-02,20,75075,25,1501500
C1101,2020-02,101,25281,14,2553381
C1102,2020-02,126,18262,10,2301012
C1001,2020-03,89,25125,10,2236125
C1007,2020-03,84,25483,20,2140572
C1008,2020-03,88,50253,18,4422264
C1010,2020-03,193,25661,10,4952573
C1011,2020-03,27,75629,12,2041983
C1016,2020-03,44,75346,23,3315224
C1021,2020-03,181,35485,9,6422785
C1022,2020-03,70,50056,18,3503920
C1023,2020-03,161,25641,12,4128201
C1024,2020-03,84,51254,23,4305336
C1025,2020-03,126,51160,20,6446160
C1026,2020-03,17,77053,11,1309901
C1030,2020-03,18,77088,25,1387584
C1031,2020-03,32,76379,14,2444128
C1032,2020-03,17,75169,15,1277873
C1034,2020-03,17,75569,18,1284673
C1035,2020-03,18,76458,24,1376244
C1036,2020-03,21,75672,9,1589112
C1038,2020-03,97,50411,11,4889867
C1039,2020-03,123,18238,12,2243274
C1041,2020-03,137,18269,15,2502853
C1043,2020-03,106,18021,12,1910226
C1046,2020-03,118,51075,25,6026850
C1047,2020-03,76,35817,19,2722092
C1048,2020-03,75,35783,12,2683725
C1049,2020-03,114,18220,19,2077080
C1051,2020-03,114,18085,11,2061690
C1053,2020-03,70,35626,18,2493820
C1057,2020-03,42,75860,20,3186120
C1062,2020-03,106,50665,11,5370490
C1063,2020-03,84,51243,12,4304412
C1066,2020-03,139,25006,13,3475834
C1069,2020-03,113,18361,13,2074793
C1070,2020-03,71,35335,19,2508785
C1072,2020-03,18,75727,16,1363086
C1075,2020-03,88,25450,9,2239600
C1077,2020-03,18,75540,25,1359720
C1080,2020-03,73,36008,17,2628584
C1081,2020-03,121,25228,16,3052588
C1082,2020-03,113,18078,20,2042814
C1086,2020-03,226,18197,17,4112522
C1089,2020-03,165,25731,24,4245615
C1090,2020-03,135,25596,23,3455460
C1093,2020-03,29,77015,10,2233435
C1094,2020-03,89,50330,14,4479370
C1095,2020-03,19,76046,9,1444874
C1097,2020-03,18,76301,19,1373418
C1101,2020-03,85,25528,12,2169880
C1102,2020-03,114,18317,11,2088138
C1001,2020-04,81,25165,15,2038365
C1007,2020-04,76,25567,24,1943092
C1008,2020-04,83,51034,17,4235822
C1010,2020-04,187,25132,11,4699684
C1011,2020-04,24,76890,18,1845360
C1016,2020-04,41,76157,19,3122437
C1021,2020-04,153,35733,8,5467149
C1022,2020-04,67,50140,8,3359380
C1023,2020-04,142,25508,23,3622136
C1024,2020-04,75,50502,11,3787650
C1025,2020-04,114,50015,14,5701710
C1026,2020-04,17,75692,15,1286764
C1030,2020-04,16,76774,8,1228384
C1031,2020-04,28,75169,25,2104732
C1032,2020-04,16,76592,14,1225472
C1034,2020-04,17,75449,10,1282633
C1035,2020-04,16,75073,13,1201168
C1036,2020-04,19,75358,21,1431802
C1038,2020-04,90,50517,17,4546530
C1039,2020-04,117,18270,14,2137590
C1041,2020-04,125,18018,17,2252250
C1043,2020-04,99,18273,19,1809027
C1046,2020-04,105,50989,8,5353845
C1047,2020-04,67,36038,9,2414546
C1048,2020-04,63,35118,24,2212434
C1049,2020-04,106,18380,23,1948280
C1051,2020-04,100,18335,16,1833500
C1053,2020-04,67,35819,10,2399873
C1057,2020-04,39,75354,8,2938806
C1062,2020-04,97,50212,16,4870564
C1063,2020-04,80,50647,17,4051760
C1066,2020-04,132,25367,12,3348444
C1069,2020-04,96,18467,13,1772832
C1070,2020-04,66,35259,12,2327094
C1072,2020-04,31,76163,17,2361053
C1075,2020-04,78,25441,12,1984398
C1077,2020-04,17,75834,19,1289178
C1080,2020-04,67,35376,24,2370192
C1081,2020-04,107,25322,11,2709454
C1082,2020-04,95,18339,24,1742205
C1086,2020-04,208,18302,9,3806816
C1089,2020-04,153,25449,16,3893697
C1090,2020-04,123,25043,12,3080289
C1093,2020-04,26,75937,20,1974362
C1094,2020-04,80,50384,17,4030720
C1095,2020-04,16,75060,13,1200960
C1097,2020-04,16,77009,8,1232144
C1101,2020-04,82,25538,10,2094116
C1102,2020-04,101,18259,24,1844159
C1001,2020-05,76,25282,15,1921432
C1002,2020-05,65,35956,13,2337140
C1007,2020-05,77,25670,13,1976590
C1008,2020-05,82,50264,25,4121648
C1010,2020-05,189,25726,11,4862214
C1011,2020-05,24,77194,13,1852656
C1016,2020-05,41,76888,22,3152408
C1021,2020-05,162,35691,24,5781942
C1022,2020-05,65,50610,25,3289650
C1023,2020-05,140,25722,8,3601080
C1024,2020-05,77,51249,14,3946173
C1025,2020-05,109,50754,16,5532186
C1026,2020-05,16,76914,16,1230624
C1030,2020-05,16,75871,20,1213936
C1031,2020-05,29,76765,25,2226185
C1032,2020-05,16,75156,13,1202496
C1034,2020-05,15,75798,12,1136970
C1035,2020-05,16,76127,17,1218032
C1036,2020-05,20,77128,20,1542560
C1038,2020-05,96,50226,15,4821696
C1039,2020-05,118,18216,15,2149488
C1041,2020-05,132,18291,18,2414412
C1043,2020-05,102,18506,18,1887612
C1046,2020-05,108,50101,8,5410908
C1047,2020-05,64,35594,21,2278016
C1048,2020-05,64,35880,19,2296320
C1049,2020-05,106,18458,9,1956548
C1051,2020-05,96,18047,8,1732512
C1053,2020-05,67,35802,8,2398734
C1057,2020-05,40,76279,16,3051160
C1062,2020-05,96,50127,24,4812192
C1063,2020-05,82,50561,23,4146002
C1066,2020-05,124,25561,20,3169564
C1069,2020-05,103,18086,25,1862858
C1070,2020-05,66,35191,10,2322606
C1072,2020-05,17,75787,21,1288379
C1075,2020-05,81,25639,23,2076759
C1077,2020-05,16,77103,19,1233648
C1080,2020-05,68,35579,14,2419372
C1081,2020-05,118,25051,15,2956018
C1082,2020-05,99,18204,17,1802196
