model_id,brand,category,fuel_type,launch_date,discontinuation_date
C1078,Zenith,Hatchback,Electric,2021-08-01,
C1079,Zenith,Hatchback,Gasoline,2022-01-01,
C1080,Zenith,SUV,Hybrid,2019-07-01,
C1081,Zenith,Sedan,Electric,2019-06-01,
C1082,Zenith,Hatchback,Gasoline,2017-03-01,
C1083,Zenith,Sedan,Gasoline,2021-11-01,
C1084,Zenith,EV,Electric,2022-09-01,
C1085,Zenith,Hatchback,Electric,2017-04-01,2019-06-30
C1086,Zenith,Hatchback,Electric,2018-01-01,
C1087,Zenith,EV,Electric,2021-12-01,
C1088,Zenith,Sedan,Gasoline,2021-12-01,
C1089,Zenith,Sedan,Electric,2018-03-01,
C1090,Ascent,Sedan,Electric,2019-02-01,
C1091,Ascent,Luxury,Hybrid,2023-10-01,
C1092,Ascent,Luxury,Gasoline,2023-11-01,
C1093,Ascent,Luxury,Electric,2018-12-01,
C1094,Ascent,EV,Electric,2018-07-01,
C1095,Ascent,Luxury,Hybrid,2017-11-01,
C1096,Ascent,SUV,Electric,2022-08-01,
C1097,Ascent,Luxury,Gasoline,2019-12-01,
C1098,Ascent,EV,Electric,2022-07-01,
C1099,Ascent,Sedan,Hybrid,2022-10-01,
C1100,Ascent,Hatchback,Electric,2017-12-01,2019-06-30
C1101,Ascent,Sedan,Hybrid,2019-04-01,2021-06-30
C1102,Ascent,Hatchback,Gasoline,2019-11-01,
