dealership_id,region,month,conversion_rate,footfall,sales_growth
D102,East,2021-10,0.0929,182,-0.0463
D102,East,2021-11,0.0964,200,0.0272
D102,East,2021-12,0.0689,186,0.0176
D102,East,2022-01,0.12,394,0.0018
D102,East,2022-02,0.12,388,0.0792
D102,East,2022-03,0.12,386,0.12
D102,East,2022-04,0.12,375,0.1424
D102,East,2022-05,0.12,388,0.1174
D102,East,2022-06,0.12,389,0.0644
D102,East,2022-07,0.12,358,0.0848
D102,East,2022-08,0.12,389,-0.0102
D102,East,2022-09,0.12,385,0.1255
D102,East,2022-10,0.12,389,-0.0419
D102,East,2022-11,0.12,400,0.1147
D102,East,2022-12,0.12,173,0.1304
D102,East,2023-01,0.12,385,0.0839
D102,East,2023-02,0.12,353,-0.0208
D102,East,2023-03,0.12,366,-0.0061
D102,East,2023-04,0.12,360,0.0267
D102,East,2023-05,0.12,363,0.0021
D102,East,2023-06,0.12,388,
D102,East,2023-07,0.12,359,0.1398
D102,East,2023-08,0.12,357,0.0847
D102,East,2023-09,0.12,370,0.1427
D102,East,2023-10,0.12,351,0.1087
D102,East,2023-11,0.12,372,0.0126
D102,East,2023-12,0.12,390,0.0042
D103,West,2019-01,0.12,365,0.0316
D103,West,2019-02,0.12,354,0.0826
D103,West,2019-03,0.12,352,0.147
D103,West,2019-04,0.12,391,0.0656
D103,West,2019-05,0.12,364,0.0093
D103,West,2019-06,0.12,352,0.012
D103,West,2019-07,0.12,382,0.053
D103,West,2019-08,0.12,387,0.1436
D103,West,2019-09,0.12,402,
D103,West,2019-10,0.12,372,0.1484
D103,West,2019-11,0.12,381,-0.0052
D103,West,2019-12,0.12,363,0.1321
D103,West,2020-01,0.0661,206,0.0387
D103,West,2020-02,0.0809,202,0.0092
D103,West,2020-03,0.0924,193,0.042
D103,West,2020-04,0.0975,193,-0.0261
D103,West,2020-05,0.065,189,0.011
D103,West,2020-06,0.0909,188,-0.0156
D103,West,2020-07,0.0714,192,-0.1363
D103,West,2020-08,0.0614,206,-0.0005
D103,West,2020-09,0.0704,181,-0.0758
D103,West,2020-10,0.0707,198,0.0139
D103,West,2020-11,0.0873,180,-0.1164
D103,West,2020-12,0.0621,197,0.0395
D103,West,2021-01,0.0791,199,-0.0052
D103,West,2021-02,0.0929,197,-0.0754
D103,West,2021-03,0.0888,201,-0.0778
D103,West,2021-04,0.0697,183,-0.123
D103,West,2021-05,0.0714,204,-0.0713
D103,West,2021-06,0.0982,194,-0.1166
D103,West,2021-07,0.0632,202,-0.0955
D103,West,2021-08,0.0859,197,0.016
D103,West,2021-09,0.0908,193,-0.0689
D103,West,2021-10,0.0792,193,-0.1454
D103,West,2021-11,0.0837,197,-0.0918
D103,West,2021-12,0.0758,182,-0.1033
D103,West,2022-01,0.12,352,-0.0192
D103,West,2022-02,0.12,355,-0.0075
D103,West,2022-03,0.12,397,0.1105
D103,West,2022-04,0.12,365,0.1227
D103,West,2022-05,0.12,363,0.0576
D103,West,2022-06,0.12,368,0.0765
D103,West,2022-07,0.12,390,0.1415
D103,West,2022-08,0.12,397,-0.0216
D103,West,2022-09,0.12,398,0.0716
D103,West,2022-10,0.12,356,-0.0331
D103,West,2022-11,0.12,376,-0.0323
D103,West,2022-12,0.12,368,0.134
D103,West,2023-01,0.12,353,-0.0213
D103,West,2023-02,0.12,367,0.0707
D103,West,2023-03,0.12,359,0.1039
D103,West,2023-04,0.12,367,
D103,West,2023-05,0.12,389,0.0088
D103,West,2023-06,0.12,394,0.1196
D103,West,2023-07,0.12,382,0.0329
D103,West,2023-08,0.12,396,0.1316
D103,West,2023-09,0.12,351,-0.0301
D103,West,2023-10,0.12,383,-0.0491
D103,West,2023-11,0.12,384,-0.0
D103,West,2023-12,0.12,386,0.0942
D104,South,2019-01,0.12,386,0.017
D104,South,2019-02,0.12,374,0.0124
D104,South,2019-03,0.12,394,-0.0059
D104,South,2019-04,0.12,380,0.0266
D104,South,2019-05,0.12,361,0.0742
D104,South,2019-06,0.12,399,0.1133
D104,South,2019-07,0.12,388,0.0938
D104,South,2019-08,0.12,386,0.1091
D104,South,2019-09,0.12,354,0.02
D104,South,2019-10,0.12,388,-0.0361
D104,South,2019-11,0.12,377,-0.0345
D104,South,2019-12,0.12,360,0.1219
D104,South,2020-01,0.0864,189,0.1047
D104,South,2020-02,0.0625,203,0.0734
D104,South,2020-03,0.066,186,0.005
D104,South,2020-04,0.0982,81,-0.0159
D104,South,2020-05,0.0891,180,0.0334
D104,South,2020-06,0.085,183,0.0394
D104,South,2020-07,0.0942,185,-0.013
D104,South,2020-08,0.0706,190,0.1225
D104,South,2020-09,0.0907,191,0.0736
D104,South,2020-10,0.0674,180,0.0343
D104,South,2020-11,0.0614,202,0.0123
D104,South,2020-12,0.0896,201,0.0736
D104,South,2021-01,0.0816,184,0.1295
D104,South,2021-02,0.0929,189,0.0251
D104,South,2021-03,0.0794,196,0.0573
D104,South,2021-04,0.0674,192,-0.0022
D104,South,2021-05,0.0608,190,0.1475
D104,South,2021-06,0.0938,191,-0.0266
D104,South,2021-07,0.0866,187,0.0999
D104,South,2021-08,0.0792,182,-0.0492
D104,South,2021-09,0.08,185,0.0461
D104,South,2021-10,0.0705,188,0.1143
D104,South,2021-11,0.0817,181,0.1199
D104,South,2021-12,0.0812,193,-0.0123
D104,South,2022-01,0.12,363,0.0905
D104,South,2022-02,0.12,370,0.0102
D104,South,2022-03,0.12,363,-0.0104
D104,South,2022-04,0.12,350,0.1414
D104,South,2022-05,0.12,378,-0.0176
D104,South,2022-06,0.12,395,0.0947
D104,South,2022-07,0.12,359,
D104,South,2022-08,0.12,392,0.0541
D104,South,2022-09,0.12,396,0.0496
D104,South,2022-10,0.12,363,-0.034
D104,South,2022-11,0.12,389,0.0141
D104,South,2022-12,0.12,364,0.1377
D104,South,2023-01,0.12,399,-0.0079
D104,South,2023-02,0.12,351,-0.0086
D104,South,2023-03,0.12,379,0.1474
D104,South,2023-04,0.12,376,-0.0424
D104,South,2023-05,0.12,382,0.0243
D104,South,2023-06,0.12,382,0.0514
D104,South,2023-07,0.12,355,0.0865
D104,South,2023-08,0.12,392,-0.0483
D104,South,2023-09,0.12,391,0.0092
D104,South,2023-10,0.12,351,0.0448
D104,South,2023-11,0.12,393,0.0176
D104,South,2023-12,0.12,374,-0.002
D105,East,2019-01,0.12,379,0.1387
D105,East,2019-02,0.12,397,-0.0012
D105,East,2019-03,0.12,358,0.0032
D105,East,2019-04,0.12,401,0.1203
D105,East,2019-05,0.12,380,0.0552
D105,East,2019-06,0.12,361,0.0535
D105,East,2019-07,0.12,363,0.0996
D105,East,2019-08,0.12,401,-0.049
D105,East,2019-09,0.12,389,0.0604
D105,East,2019-10,0.12,392,0.1084
D105,East,2019-11,0.12,381,0.0297
D105,East,2019-12,0.12,366,-0.0205
D105,East,2020-01,0.0811,182,-0.0092
D105,East,2020-02,0.092,206,0.124
D105,East,2020-03,0.097,198,0.0141
D105,East,2020-04,0.0734,189,0.075
D105,East,2020-05,0.0987,185,0.0336
D105,East,2020-06,0.065,196,0.0776
D105,East,2020-07,0.0806,189,0.0035
D105,East,2020-08,0.0869,206,0.0654
D105,East,2020-09,0.0893,199,0.0837
D105,East,2020-10,0.0875,188,0.1452
D105,East,2020-11,0.0894,180,0.0901
D105,East,2020-12,0.0913,195,0.0298
D105,East,2021-01,0.0749,188,0.0603
D105,East,2021-02,0.0888,183,0.0133
D105,East,2021-03,0.0653,195,-0.0404
D105,East,2021-04,0.0609,190,-0.022
D105,East,2021-05,0.0783,191,0.0488
D105,East,2021-06,0.0832,181,0.0432
D105,East,2021-07,0.0745,189,0.1057
D105,East,2021-08,0.0872,186,0.0693
D105,East,2021-09,0.0637,192,0.0301
D105,East,2021-10,0.0993,184,0.1142
D105,East,2021-11,0.0954,184,0.0801
D105,East,2021-12,0.0863,185,0.0783
D105,East,2022-01,0.12,390,0.1472
D105,East,2022-02,0.12,368,-0.0302
D105,East,2022-03,0.12,367,0.0982
D105,East,2022-04,0.12,353,-0.0089
D105,East,2022-05,0.12,374,0.0432
D105,East,2022-06,0.12,383,-0.0396
D105,East,2022-07,0.12,362,-0.0076
D105,East,2022-08,0.12,361,0.0316
D105,East,2022-09,0.12,383,0.0586
D105,East,2022-10,0.12,373,-0.0189
D105,East,2022-11,0.12,389,0.0031
D105,East,2022-12,0.12,369,-0.0468
D105,East,2023-01,0.12,397,
D105,East,2023-02,0.12,389,0.0055
D105,East,2023-03,0.12,385,0.133
D105,East,2023-04,0.12,389,0.0612
D105,East,2023-05,0.12,371,0.1238
D105,East,2023-06,0.12,382,0.0195
D105,East,2023-07,0.12,380,0.0682
D105,East,2023-08,0.12,354,0.0879
D105,East,2023-09,0.12,355,0.0552
D105,East,2023-10,0.12,377,0.0739
D105,East,2023-11,0.12,367,-0.0294
D105,East,2023-12,0.12,379,0.0009
D106,East,2019-01,0.12,361,0.0187
D106,East,2019-02,0.12,352,0.0838
D106,East,2019-03,0.12,387,0.0755
D106,East,2019-04,0.12,386,0.1017
D106,East,2019-05,0.12,384,0.0897
D106,East,2019-06,0.12,368,0.046
D106,East,2019-07,0.12,354,-0.0217
D106,East,2019-08,0.12,353,0.1421
D106,East,2019-09,0.12,352,0.1009
D106,East,2019-10,0.12,375,0.0913
D106,East,2019-11,0.12,365,0.1259
D106,East,2019-12,0.12,351,-0.0177
D106,East,2020-01,0.0707,199,0.0867
D106,East,2020-02,0.0854,194,0.1494
D106,East,2020-03,0.0936,184,0.0572
D106,East,2020-04,0.0612,198,-0.0178
D106,East,2020-05,0.09,185,0.0195
D106,East,2020-06,0.0924,188,0.0074
D106,East,2020-07,0.0741,184,0.0188
D106,East,2020-08,0.0625,203,0.0178
D106,East,2020-09,0.0606,185,0.0813
D106,East,2020-10,0.0875,194,0.0388
D106,East,2020-11,0.068,193,0.0808
D106,East,2020-12,0.0716,186,0.0422
D106,East,2021-01,0.0894,198,0.1063
D106,East,2021-02,0.0783,199,-0.0144
D106,East,2021-03,0.0859,186,0.0068
D106,East,2021-04,0.0782,193,0.1328
D106,East,2021-05,0.0918,192,0.0457
D106,East,2021-06,0.0888,191,-0.0333
D106,East,2021-07,0.0648,189,0.0199
D106,East,2021-08,0.0817,180,0.0671
D106,East,2021-09,0.0972,182,-0.0388
D106,East,2021-10,0.0616,195,0.0835
D106,East,2021-11,0.0888,180,0.0635
D106,East,2021-12,0.06,186,-0.0075
D106,East,2022-01,0.12,373,0.045
D106,East,2022-02,0.12,377,0.1134
D106,East,2022-03,0.12,375,-0.0121
D106,East,2022-04,0.12,378,0.1187
D106,East,2022-05,0.12,384,-0.0157
D106,East,2022-06,0.12,390,0.0069
D106,East,2022-07,0.12,383,0.1302
D106,East,2022-08,0.12,367,0.0483
D106,East,2022-09,0.12,350,0.1213
D106,East,2022-10,0.12,360,-0.018
D106,East,2022-11,0.12,354,0.0937
D106,East,2022-12,0.12,361,0.105
D106,East,2023-01,0.12,390,-0.0227
D106,East,2023-02,0.12,368,-0.0299
D106,East,2023-03,0.12,371,0.0066
D106,East,2023-04,0.12,380,0.0615
D106,East,2023-05,0.12,399,-0.0081
D106,East,2023-06,0.12,394,0.093
D106,East,2023-07,0.12,387,0.0281
D106,East,2023-08,0.12,360,0.0284
D106,East,2023-09,0.12,392,0.0361
D106,East,2023-10,0.12,395,0.0444
D106,East,2023-11,0.12,388,0.1479
D106,East,2023-12,0.12,370,0.1353
D107,South,2019-01,0.12,388,0.1061
D107,South,2019-02,0.12,373,0.118
D107,South,2019-03,0.12,402,0.0136
D107,South,2019-04,0.12,392,-0.0117
D107,South,2019-05,0.12,363,0.1324
D107,South,2019-06,0.12,380,-0.0201
D107,South,2019-07,0.12,387,0.0594
D107,South,2019-08,0.12,395,0.128
D107,South,2019-09,0.12,366,0.1104
D107,South,2019-10,0.12,382,0.0529
D107,South,2019-11,0.12,390,0.0424
D107,South,2019-12,0.12,394,0.1096
D107,South,2020-01,0.0694,194,0.0482
D107,South,2020-02,0.0769,191,-0.0332
D107,South,2020-03,0.0627,197,0.0323
D107,South,2020-04,0.0954,206,0.1252
D107,South,2020-05,0.0814,197,0.0312
D107,South,2020-06,0.0702,205,0.087
D107,South,2020-07,0.0863,188,-0.0459
D107,South,2020-08,0.0977,185,0.0845
D107,South,2020-09,0.0988,183,-0.0414
D107,South,2020-10,0.0825,184,0.1176
D107,South,2020-11,0.0687,194,0.0875
D107,South,2020-12,0.0913,190,0.0631
D107,South,2021-01,0.0745,195,0.0154
D107,South,2021-02,0.0877,187,0.1247
D107,South,2021-03,0.0939,192,0.0309
D107,South,2021-04,0.0906,199,-0.025
D107,South,2021-05,0.0776,91,-0.0317
D107,South,2021-06,0.0615,189,0.074
D107,South,2021-07,0.0948,190,-0.049
D107,South,2021-08,0.0623,195,-0.0015
D107,South,2021-09,0.0676,200,0.077
D107,South,2021-10,0.0745,182,0.0665
D107,South,2021-11,0.0791,199,0.1471
D107,South,2021-12,0.0934,185,0.0387
D107,South,2022-01,0.12,367,0.1155
D107,South,2022-02,0.12,401,-0.0381
D107,South,2022-03,0.12,370,0.0591
D107,South,2022-04,0.12,392,0.0773
D107,South,2022-05,0.12,355,-0.0365
D107,South,2022-06,0.12,392,0.0155
D107,South,2022-07,0.12,364,-0.0132
D107,South,2022-08,0.12,358,0.0885
D107,South,2022-09,0.12,378,0.0996
D107,South,2022-10,0.12,368,0.1261
D107,South,2022-11,0.12,366,0.1411
D107,South,2022-12,0.12,354,0.0141
D107,South,2023-01,0.12,396,-0.0115
D107,South,2023-02,0.12,387,0.0979
D107,South,2023-03,0.12,374,0.1444
D107,South,2023-04,0.12,367,0.1284
D107,South,2023-05,0.12,386,0.0694
D107,South,2023-06,0.12,389,0.0876
D107,South,2023-07,0.12,374,-0.0012
D107,South,2023-08,0.12,380,0.0244
D107,South,2023-09,0.12,361,0.0248
D107,South,2023-10,0.12,365,-0.0075
D107,South,2023-11,0.12,381,-0.0357
D107,South,2023-12,0.12,396,0.0103
D108,East,2019-01,0.12,371,0.1088
D108,East,2019-02,0.12,377,0.144
D108,East,2019-03,0.12,392,-0.0483
D108,East,2019-04,0.12,381,0.1099
D108,East,2019-05,0.12,398,0.1395
D108,East,2019-06,0.12,385,0.108
D108,East,2019-07,0.12,378,-0.0277
D108,East,2019-08,0.12,371,0.0074
D108,East,2019-09,0.12,387,0.0133
D108,East,2019-10,0.12,351,0.0768
D108,East,2019-11,0.12,358,
D108,East,2019-12,0.12,360,0.089
D108,East,2020-01,0.0667,184,-0.0489
D108,East,2020-02,0.0665,183,0.0033
D108,East,2020-03,0.0874,205,0.132
D108,East,2020-04,0.0946,203,0.1006
D108,East,2020-05,0.0956,194,-0.0499
D108,East,2020-06,0.0755,204,0.1104
D108,East,2020-07,0.0758,186,-0.0312
D108,East,2020-08,0.0639,194,0.0851
D108,East,2020-09,0.0821,206,-0.0478
D108,East,2020-10,0.0896,182,0.0024
D108,East,2020-11,0.0867,186,0.0164
D108,East,2020-12,0.0864,196,0.0795
D108,East,2021-01,0.0648,186,-0.044
D108,East,2021-02,0.0767,182,0.0858
D108,East,2021-03,0.065,181,0.0741
D108,East,2021-04,0.0945,186,0.0094
D108,East,2021-05,0.099,202,0.0387
D108,East,2021-06,0.0722,180,0.0275
D108,East,2021-07,0.0831,189,0.1375
D108,East,2021-08,0.0851,194,0.0307
D108,East,2021-09,0.0684,200,
D108,East,2021-10,0.0741,197,0.1239
D108,East,2021-11,0.0969,204,0.0923
D108,East,2021-12,0.0812,201,-0.0153
D108,East,2022-01,0.12,384,-0.0486
D108,East,2022-02,0.12,388,-0.0113
D108,East,2022-03,0.12,380,0.1035
D108,East,2022-04,0.12,360,0.0762
D108,East,2022-05,0.12,352,0.1047
D108,East,2022-06,0.12,392,0.0744
D108,East,2022-07,0.12,378,-0.0058
D108,East,2022-08,0.12,391,-0.0457
D108,East,2022-09,0.12,387,-0.0435
D108,East,2022-10,0.12,362,0.0339
D108,East,2022-11,0.12,388,0.1368
D108,East,2022-12,0.12,351,0.0132
D108,East,2023-01,0.12,358,0.0548
D108,East,2023-02,0.12,376,0.0781
D108,East,2023-03,0.12,373,0.0086
D108,East,2023-04,0.12,359,0.1001
D108,East,2023-05,0.12,376,-0.0314
D108,East,2023-06,0.12,370,0.0677
D108,East,2023-07,0.12,394,-0.0014
D108,East,2023-08,0.12,394,0.0484
D108,East,2023-09,0.12,364,0.1362
D108,East,2023-10,0.12,165,0.1001
D108,East,2023-11,0.12,400,0.0556
D108,East,2023-12,0.12,393,-0.0487
D109,West,2019-01,0.12,390,0.0738
D109,West,2019-02,0.12,357,-0.0144
D109,West,2019-03,0.12,402,0.0968
D109,West,2019-04,0.12,376,0.1136
D109,West,2019-05,0.12,358,0.0578
D109,West,2019-06,0.12,367,0.0641
D109,West,2019-07,0.12,358,0.0093
D109,West,2019-08,0.12,398,0.075
D109,West,2019-09,0.12,358,0.0639
D109,West,2019-10,0.12,378,0.0632
D109,West,2019-11,0.12,390,0.0165
D109,West,2019-12,0.12,372,0.0222
D109,West,2020-01,0.0996,187,-0.0311
D109,West,2020-02,0.0817,184,0.0248
D109,West,2020-03,0.0999,206,-0.1003
D109,West,2020-04,0.0906,205,-0.0763
D109,West,2020-05,0.0825,198,-0.065
D109,West,2020-06,0.0745,187,-0.1335
D109,West,2020-07,0.0731,192,-0.0677
D109,West,2020-08,0.0954,182,-0.0596
D109,West,2020-09,0.0926,188,-0.1409
D109,West,2020-10,0.0983,190,-0.1007
D109,West,2020-11,0.0709,195,-0.0559
D109,West,2020-12,0.0617,202,-0.1403
D109,West,2021-01,0.0853,202,-0.1481
D109,West,2021-02,0.0799,180,0.0058
D109,West,2021-03,0.0751,186,0.018
D109,West,2021-04,0.0728,199,-0.0479
D109,West,2021-05,0.0929,185,0.03
D109,West,2021-06,0.0699,204,-0.0079
D109,West,2021-07,0.0777,192,-0.0559
D109,West,2021-08,0.0906,202,-0.1325
D109,West,2021-09,0.0853,204,-0.0637
D109,West,2021-10,0.0885,184,-0.1338
D109,West,2021-11,0.0975,187,-0.0701
D109,West,2021-12,0.0919,203,
D109,West,2022-01,0.12,353,
D109,West,2022-02,0.12,377,-0.0196
D109,West,2022-03,0.12,359,0.1407
D109,West,2022-04,0.12,391,0.1166
D109,West,2022-05,0.12,389,0.0713
D109,West,2022-06,0.12,358,-0.0201
D109,West,2022-07,0.12,371,0.0908
D109,West,2022-08,0.12,351,0.0751
D109,West,2022-09,0.12,381,0.0087
D109,West,2022-10,0.12,381,-0.0248
D109,West,2022-11,0.12,382,0.1174
D109,West,2022-12,0.12,393,0.1303
D109,West,2023-01,0.12,368,-0.0068
D109,West,2023-02,0.12,398,0.0519
D109,West,2023-03,0.12,393,-0.042
D109,West,2023-04,0.12,392,0.0112
D109,West,2023-05,0.12,396,-0.0196
D109,West,2023-06,0.12,379,0.0112
D109,West,2023-07,0.12,382,0.1294
D109,West,2023-08,0.12,383,0.0794
D109,West,2023-09,0.12,388,0.0488
D109,West,2023-10,0.12,358,0.1187
D109,West,2023-11,0.12,353,0.1035
D109,West,2023-12,0.12,367,-0.0441
D110,East,2019-01,0.12,373,-0.0476
D110,East,2019-02,0.12,375,-0.0121
D110,East,2019-03,0.12,399,-0.0294
D110,East,2019-04,0.12,386,-0.0043
D110,East,2019-05,0.12,361,0.0178
D110,East,2019-06,0.12,351,0.0354
D110,East,2019-07,0.12,387,0.024
D110,East,2019-08,0.12,368,-0.0001
D110,East,2019-09,0.12,362,-0.0473
D110,East,2019-10,0.12,387,0.0215
D110,East,2019-11,0.12,367,0.0819
D110,East,2019-12,0.12,180,0.0962
D110,East,2020-01,0.0865,184,-0.022
D110,East,2020-02,0.0924,188,0.1046
D110,East,2020-03,0.0605,185,-0.0029
D110,East,2020-04,0.0863,192,0.0178
D110,East,2020-05,0.0824,186,0.0764
D110,East,2020-06,0.0631,195,-0.0432
D110,East,2020-07,0.0767,194,0.0684
D110,East,2020-08,0.0794,196,0.0395
D110,East,2020-09,0.0819,185,-0.0159
D110,East,2020-10,0.0648,180,-0.0433
D110,East,2020-11,0.0965,188,0.1477
D110,East,2020-12,0.0771,194,0.0558
D110,East,2021-01,0.0808,195,0.0405
D110,East,2021-02,0.0905,195,-0.0409
D110,East,2021-03,0.0775,182,0.1126
D110,East,2021-04,0.0851,185,0.0253
D110,East,2021-05,0.0668,193,0.0269
D110,East,2021-06,0.09,194,0.0505
D110,East,2021-07,0.0642,194,0.078
D110,East,2021-08,0.0784,194,0.1291
D110,East,2021-09,0.0747,194,0.0885
D110,East,2021-10,0.0717,189,0.1131
D110,East,2021-11,0.0924,200,-0.0463
D110,East,2021-12,0.0621,180,0.0182
D110,East,2022-01,0.12,367,-0.0304
D110,East,2022-02,0.12,361,0.0059
D110,East,2022-03,0.12,375,0.1057
D110,East,2022-04,0.12,362,0.1327
D110,East,2022-05,0.12,352,-0.0205
D110,East,2022-06,0.12,386,0.0791
D110,East,2022-07,0.12,376,0.0091
D110,East,2022-08,0.12,395,0.0971
D110,East,2022-09,0.12,354,0.064
D110,East,2022-10,0.12,390,-0.025
D110,East,2022-11,0.12,378,0.0306
D110,East,2022-12,0.12,394,0.1472
D110,East,2023-01,0.12,363,0.0486
D110,East,2023-02,0.12,373,-0.0105
D110,East,2023-03,0.12,394,0.0057
D110,East,2023-04,0.12,401,0.1251
D110,East,2023-05,0.12,376,0.0227
D110,East,2023-06,0.12,390,0.0505
D110,East,2023-07,0.12,363,0.0905
D110,East,2023-08,0.12,357,0.1498
D110,East,2023-09,0.12,358,-0.0389
D110,East,2023-10,0.12,157,0.0761
D110,East,2023-11,0.12,364,-0.0386
D110,East,2023-12,0.12,362,-0.0475
D111,West,2019-01,0.12,379,0.0186
D111,West,2019-02,0.12,383,0.0352
D111,West,2019-03,0.12,394,-0.0326
D111,West,2019-04,0.12,396,-0.0144
D111,West,2019-05,0.12,352,-0.0364
D111,West,2019-06,0.12,354,0.0705
D111,West,2019-07,0.12,358,-0.0067
D111,West,2019-08,0.12,393,0.006
D111,West,2019-09,0.12,367,0.136
D111,West,2019-10,0.12,372,
D111,West,2019-11,0.12,373,0.0568
D111,West,2019-12,0.12,398,0.0307
D111,West,2020-01,0.0965,200,-0.1425
D111,West,2020-02,0.087,197,-0.0276
D111,West,2020-03,0.0819,182,-0.0333
D111,West,2020-04,0.0894,199,
D111,West,2020-05,0.063,185,-0.1298
D111,West,2020-06,0.078,189,0.0432
D111,West,2020-07,0.0761,187,-0.0512
D111,West,2020-08,0.0781,180,-0.0186
D111,West,2020-09,0.0711,183,-0.1218
D111,West,2020-10,0.0897,87,0.0498
D111,West,2020-11,0.0706,195,-0.0118
D111,West,2020-12,0.0875,204,-0.0654
D111,West,2021-01,0.0668,186,-0.0899
D111,West,2021-02,0.0609,193,-0.1044
D111,West,2021-03,0.0859,87,-0.0097
D111,West,2021-04,0.0926,195,-0.0588
D111,West,2021-05,0.078,197,0.0141
D111,West,2021-06,0.064,184,-0.0399
D111,West,2021-07,0.0874,182,-0.0302
D111,West,2021-08,0.0665,206,-0.0464
D111,West,2021-09,0.093,206,0.025
D111,West,2021-10,0.0864,206,-0.1347
D111,West,2021-11,0.0928,194,0.0315
D111,West,2021-12,0.0632,191,-0.0459
D111,West,2022-01,0.12,362,0.0915
D111,West,2022-02,0.12,368,-0.0442
D111,West,2022-03,0.12,396,0.0308
D111,West,2022-04,0.12,392,0.1382
D111,West,2022-05,0.12,377,-0.0155
D111,West,2022-06,0.12,394,0.0892
D111,West,2022-07,0.12,389,-0.0322
D111,West,2022-08,0.12,371,0.1381
D111,West,2022-09,0.12,353,0.0967
D111,West,2022-10,0.12,369,0.0413
D111,West,2022-11,0.12,395,0.0871
D111,West,2022-12,0.12,393,-0.0297
