campaign_id,month,platform,ctr,impressions
CAMP_2020_2,2020-05,Google,0.0211,613000
CAMP_2020_2,2020-06,Meta,0.0383,671000
CAMP_2020_3,2020-01,Google,0.0375,944000
CAMP_2020_3,2020-02,Pinterest,0.0376,676000
CAMP_2020_3,2020-03,Pinterest,0.017,918000
CAMP_2020_3,2020-04,Pinterest,0.0381,1049000
CAMP_2020_3,2020-05,Google,0.0378,306000
CAMP_2020_3,2020-06,Meta,0.0203,797000
CAMP_2020_4,2020-01,Google,0.028,1411000
CAMP_2020_4,2020-02,Meta,0.0168,488000
CAMP_2020_4,2020-03,Google,0.0233,383000
CAMP_2020_4,2020-04,Meta,0.0265,1311000
CAMP_2020_4,2020-05,TikTok,0.031,1499000
CAMP_2020_4,2020-06,Meta,0.0256,883000
CAMP_2020_5,2020-01,Meta,0.0385,1340000
CAMP_2020_5,2020-02,Pinterest,0.0449,1279000
CAMP_2020_5,2020-03,Google,0.0263,1299000
CAMP_2020_5,2020-04,Google,0.0221,469000
CAMP_2020_5,2020-05,Meta,0.0204,1444000
CAMP_2020_5,2020-06,TikTok,0.0228,640000
CAMP_2020_6,2020-01,Pinterest,0.0279,1137000
CAMP_2020_6,2020-02,Meta,0.0183,887000
CAMP_2020_6,2020-03,Google,0.0264,1321000
CAMP_2020_6,2020-04,Meta,0.0394,838000
CAMP_2020_6,2020-05,Meta,0.0313,565000
CAMP_2020_6,2020-06,Pinterest,0.0066,201000
CAMP_2021_1,2021-01,Pinterest,0.0546,1374000
CAMP_2021_1,2021-02,Google,0.038,764000
CAMP_2021_1,2021-03,Meta,0.0328,1368000
CAMP_2021_1,2021-04,Pinterest,0.045,732000
CAMP_2021_1,2021-05,Meta,0.0545,1339000
CAMP_2021_1,2021-06,Pinterest,0.0548,1402000
CAMP_2021_2,2021-01,TikTok,0.0574,938000
CAMP_2021_2,2021-02,Meta,0.0303,249000
CAMP_2021_2,2021-03,TikTok,0.0526,211000
CAMP_2021_2,2021-04,TikTok,0.0393,831000
CAMP_2021_2,2021-05,Meta,0.0562,590000
CAMP_2021_2,2021-06,TikTok,0.0529,531000
CAMP_2021_3,2021-01,Pinterest,0.04,694000
CAMP_2021_3,2021-02,TikTok,0.04,399000
CAMP_2021_3,2021-03,Google,0.0532,232000
CAMP_2021_3,2021-04,Google,0.0439,1292000
CAMP_2021_3,2021-05,TikTok,0.0429,304000
CAMP_2021_3,2021-06,Pinterest,0.0534,1298000
CAMP_2021_4,2021-01,Meta,0.0546,189000
CAMP_2021_4,2021-02,TikTok,0.032,627000
CAMP_2021_4,2021-03,Pinterest,0.0539,1086000
CAMP_2021_4,2021-04,TikTok,0.0547,1029000
CAMP_2021_4,2021-05,TikTok,0.0464,672000
CAMP_2021_4,2021-06,TikTok,0.0597,752000
CAMP_2021_5,2021-01,Google,0.0397,1160000
CAMP_2021_5,2021-02,Meta,0.0344,1108000
CAMP_2021_5,2021-03,TikTok,0.0477,997000
CAMP_2021_5,2021-04,Meta,0.0537,1182000
CAMP_2021_5,2021-05,Google,0.0419,432000
CAMP_2021_5,2021-06,Google,0.0569,555000
CAMP_2021_6,2021-01,TikTok,0.0394,1060000
CAMP_2021_6,2021-02,TikTok,0.0477,1330000
CAMP_2021_6,2021-03,Google,,854000
CAMP_2021_6,2021-04,TikTok,0.0557,1329000
CAMP_2021_6,2021-05,Google,0.0331,1449000
CAMP_2021_6,2021-06,Meta,0.0118,289000
CAMP_2022_1,2022-01,Meta,0.033,275000
CAMP_2022_1,2022-02,Google,0.0442,745000
CAMP_2022_1,2022-03,Pinterest,0.0448,963000
CAMP_2022_1,2022-04,Meta,0.0312,318000
CAMP_2022_1,2022-05,TikTok,0.043,1020000
CAMP_2022_1,2022-06,Pinterest,0.0548,1303000
CAMP_2022_2,2022-01,Google,0.0513,413000
CAMP_2022_2,2022-02,Google,0.0489,282000
CAMP_2022_2,2022-03,TikTok,0.0573,1289000
CAMP_2022_2,2022-04,Meta,0.0433,812000
CAMP_2022_2,2022-05,TikTok,0.0317,184000
CAMP_2022_2,2022-06,Pinterest,0.0516,770000
CAMP_2022_3,2022-01,TikTok,0.0488,1276000
CAMP_2022_3,2022-02,TikTok,0.0351,452000
CAMP_2022_3,2022-03,Meta,0.0217,819000
CAMP_2022_3,2022-04,Google,0.0574,1114000
CAMP_2022_3,2022-05,Google,0.0452,209000
CAMP_2022_3,2022-06,TikTok,0.0429,916000
CAMP_2022_4,2022-01,Google,0.0565,763000
CAMP_2022_4,2022-02,TikTok,0.0498,1234000
CAMP_2022_4,2022-03,Pinterest,0.055,686000
CAMP_2022_4,2022-04,Meta,0.0317,698000
CAMP_2022_4,2022-05,Pinterest,0.0368,497000
CAMP_2022_4,2022-06,Pinterest,0.0437,1322000
CAMP_2022_5,2022-01,TikTok,0.0587,237000
CAMP_2022_5,2022-02,Google,0.0481,1244000
CAMP_2022_5,2022-03,Meta,0.0498,218000
CAMP_2022_5,2022-04,Pinterest,0.0573,927000
CAMP_2022_5,2022-05,Google,0.0371,665000
CAMP_2022_5,2022-06,Meta,0.0394,1267000
CAMP_2022_6,2022-01,Meta,0.0506,1443000
CAMP_2022_6,2022-02,Meta,0.0334,604000
CAMP_2022_6,2022-03,Meta,0.0547,155000
CAMP_2022_6,2022-04,TikTok,0.0422,1033000
CAMP_2022_6,2022-05,Pinterest,0.0383,1047000
CAMP_2022_6,2022-06,Pinterest,0.0506,735000
CAMP_2023_1,2023-01,TikTok,0.0469,589000
CAMP_2023_1,2023-02,Meta,0.0305,862000
CAMP_2023_1,2023-03,TikTok,0.0525,1330000
CAMP_2023_1,2023-04,Pinterest,0.0456,538000
CAMP_2023_1,2023-05,Google,0.0452,1368000
CAMP_2023_1,2023-06,Meta,0.0517,260000
CAMP_2023_2,2023-01,Google,0.0512,838000
CAMP_2023_2,2023-02,Meta,0.0579,1050000
CAMP_2023_2,2023-03,Meta,0.0357,1288000
CAMP_2023_2,2023-04,TikTok,0.0316,985000
CAMP_2023_2,2023-05,TikTok,0.0466,699000
CAMP_2023_2,2023-06,TikTok,0.0389,600000
CAMP_2023_3,2023-01,Google,0.0589,876000
CAMP_2023_3,2023-02,Pinterest,0.0474,1293000
CAMP_2023_3,2023-03,Pinterest,0.0373,1234000
CAMP_2023_3,2023-04,Pinterest,0.0435,122000
CAMP_2023_3,2023-05,TikTok,0.0461,525000
CAMP_2023_3,2023-06,Google,0.0393,337000
CAMP_2023_4,2023-01,Meta,0.031,107000
CAMP_2023_4,2023-02,TikTok,0.0383,1423000
CAMP_2023_4,2023-03,Google,0.0397,1298000
CAMP_2023_4,2023-04,Pinterest,0.0345,1217000
CAMP_2023_4,2023-05,Pinterest,0.0377,973000
CAMP_2023_4,2023-06,TikTok,0.0412,1442000
CAMP_2023_5,2023-01,Pinterest,0.0566,233000
CAMP_2023_5,2023-02,Google,0.0409,1187000
CAMP_2023_5,2023-03,Pinterest,0.0546,1023000
CAMP_2023_5,2023-04,Pinterest,0.0525,1248000
CAMP_2023_5,2023-05,Google,0.0599,148000
CAMP_2023_5,2023-06,Pinterest,0.0546,989000
CAMP_2023_6,2023-01,Meta,0.0489,527000
CAMP_2023_6,2023-02,Google,0.0319,1071000
CAMP_2023_6,2023-03,Pinterest,0.0356,784000
CAMP_2023_6,2023-04,Google,0.0528,678000
CAMP_2023_6,2023-05,TikTok,0.0449,1452000
CAMP_2023_6,2023-06,Meta,0.0558,711000
